Capture name	Compartments	Time	Detection probability
Cap:t=26,C1-5	C1-5	26	0.4
Cap:t=28,C1-5	C1-5	28	0.4
Cap:t=30,C1-5	C1-5	30	0.4
Cap:t=32,C1-5	C1-5	32	0.4
Cap:t=34,C1-5	C1-5	34	0.4
Cap:t=36,C1-5	C1-5	36	0.4
Cap:t=38,C1-5	C1-5	38	0.4
Cap:t=40,C1-5	C1-5	40	0.4
Cap:t=42,C1-5	C1-5	42	0.4
Cap:t=44,C1-5	C1-5	44	0.4
Cap:t=46,C1-5	C1-5	46	0.4
Cap:t=48,C1-5	C1-5	48	0.4
Cap:t=50,C1-5	C1-5	50	0.4
Cap:t=52,C1-5	C1-5	52	0.4
Cap:t=54,C1-5	C1-5	54	0.4
Cap:t=56,C1-5	C1-5	56	0.4
Cap:t=58,C1-5	C1-5	58	0.4
Cap:t=60,C1-5	C1-5	60	0.4
Cap:t=62,C1-5	C1-5	62	0.4
Cap:t=64,C1-5	C1-5	64	0.4
Cap:t=66,C1-5	C1-5	66	0.4
Cap:t=68,C1-5	C1-5	68	0.4
Cap:t=70,C1-5	C1-5	70	0.4
Cap:t=72,C1-5	C1-5	72	0.4
Cap:t=74,C1-5	C1-5	74	0.4
Cap:t=76,C1-5	C1-5	76	0.4
Cap:t=78,C1-5	C1-5	78	0.4
Cap:t=80,C1-5	C1-5	80	0.4
Cap:t=82,C1-5	C1-5	82	0.4
Cap:t=84,C1-5	C1-5	84	0.4
Cap:t=86,C1-5	C1-5	86	0.4
Cap:t=88,C1-5	C1-5	88	0.4
Cap:t=90,C1-5	C1-5	90	0.4
Cap:t=92,C1-5	C1-5	92	0.4
Cap:t=94,C1-5	C1-5	94	0.4
Cap:t=96,C1-5	C1-5	96	0.4
Cap:t=98,C1-5	C1-5	98	0.4
Cap:t=100,C1-5	C1-5	100	0.4
Cap:t=0,C1-9	C1-9	0	0.4
Cap:t=2,C1-9	C1-9	2	0.4
Cap:t=4,C1-9	C1-9	4	0.4
Cap:t=6,C1-9	C1-9	6	0.4
Cap:t=8,C1-9	C1-9	8	0.4
Cap:t=10,C1-9	C1-9	10	0.4
Cap:t=12,C1-9	C1-9	12	0.4
Cap:t=14,C1-9	C1-9	14	0.4
Cap:t=16,C1-9	C1-9	16	0.4
Cap:t=18,C1-9	C1-9	18	0.4
Cap:t=20,C1-9	C1-9	20	0.4
Cap:t=22,C1-9	C1-9	22	0.4
Cap:t=24,C1-9	C1-9	24	0.4
Cap:t=26,C1-9	C1-9	26	0.4
Cap:t=28,C1-9	C1-9	28	0.4
Cap:t=30,C1-9	C1-9	30	0.4
Cap:t=32,C1-9	C1-9	32	0.4
Cap:t=34,C1-9	C1-9	34	0.4
Cap:t=36,C1-9	C1-9	36	0.4
Cap:t=38,C1-9	C1-9	38	0.4
Cap:t=40,C1-9	C1-9	40	0.4
Cap:t=42,C1-9	C1-9	42	0.4
Cap:t=44,C1-9	C1-9	44	0.4
Cap:t=46,C1-9	C1-9	46	0.4
Cap:t=48,C1-9	C1-9	48	0.4
Cap:t=50,C1-9	C1-9	50	0.4
Cap:t=52,C1-9	C1-9	52	0.4
Cap:t=54,C1-9	C1-9	54	0.4
Cap:t=56,C1-9	C1-9	56	0.4
Cap:t=58,C1-9	C1-9	58	0.4
Cap:t=60,C1-9	C1-9	60	0.4
Cap:t=62,C1-9	C1-9	62	0.4
Cap:t=64,C1-9	C1-9	64	0.4
Cap:t=66,C1-9	C1-9	66	0.4
Cap:t=68,C1-9	C1-9	68	0.4
Cap:t=70,C1-9	C1-9	70	0.4
Cap:t=72,C1-9	C1-9	72	0.4
Cap:t=74,C1-9	C1-9	74	0.4
Cap:t=76,C1-9	C1-9	76	0.4
Cap:t=78,C1-9	C1-9	78	0.4
Cap:t=80,C1-9	C1-9	80	0.4
Cap:t=82,C1-9	C1-9	82	0.4
Cap:t=84,C1-9	C1-9	84	0.4
Cap:t=86,C1-9	C1-9	86	0.4
Cap:t=88,C1-9	C1-9	88	0.4
Cap:t=90,C1-9	C1-9	90	0.4
Cap:t=92,C1-9	C1-9	92	0.4
Cap:t=94,C1-9	C1-9	94	0.4
Cap:t=96,C1-9	C1-9	96	0.4
Cap:t=98,C1-9	C1-9	98	0.4
Cap:t=100,C1-9	C1-9	100	0.4
Cap:t=0,C5-1	C5-1	0	0.4
Cap:t=2,C5-1	C5-1	2	0.4
Cap:t=4,C5-1	C5-1	4	0.4
Cap:t=6,C5-1	C5-1	6	0.4
Cap:t=8,C5-1	C5-1	8	0.4
Cap:t=10,C5-1	C5-1	10	0.4
Cap:t=12,C5-1	C5-1	12	0.4
Cap:t=14,C5-1	C5-1	14	0.4
Cap:t=16,C5-1	C5-1	16	0.4
Cap:t=18,C5-1	C5-1	18	0.4
Cap:t=20,C5-1	C5-1	20	0.4
Cap:t=22,C5-1	C5-1	22	0.4
Cap:t=24,C5-1	C5-1	24	0.4
Cap:t=26,C5-1	C5-1	26	0.4
Cap:t=28,C5-1	C5-1	28	0.4
Cap:t=30,C5-1	C5-1	30	0.4
Cap:t=32,C5-1	C5-1	32	0.4
Cap:t=34,C5-1	C5-1	34	0.4
Cap:t=36,C5-1	C5-1	36	0.4
Cap:t=38,C5-1	C5-1	38	0.4
Cap:t=40,C5-1	C5-1	40	0.4
Cap:t=42,C5-1	C5-1	42	0.4
Cap:t=44,C5-1	C5-1	44	0.4
Cap:t=46,C5-1	C5-1	46	0.4
Cap:t=48,C5-1	C5-1	48	0.4
Cap:t=50,C5-1	C5-1	50	0.4
Cap:t=52,C5-1	C5-1	52	0.4
Cap:t=54,C5-1	C5-1	54	0.4
Cap:t=56,C5-1	C5-1	56	0.4
Cap:t=58,C5-1	C5-1	58	0.4
Cap:t=60,C5-1	C5-1	60	0.4
Cap:t=62,C5-1	C5-1	62	0.4
Cap:t=64,C5-1	C5-1	64	0.4
Cap:t=66,C5-1	C5-1	66	0.4
Cap:t=68,C5-1	C5-1	68	0.4
Cap:t=70,C5-1	C5-1	70	0.4
Cap:t=72,C5-1	C5-1	72	0.4
Cap:t=74,C5-1	C5-1	74	0.4
Cap:t=76,C5-1	C5-1	76	0.4
Cap:t=78,C5-1	C5-1	78	0.4
Cap:t=80,C5-1	C5-1	80	0.4
Cap:t=82,C5-1	C5-1	82	0.4
Cap:t=84,C5-1	C5-1	84	0.4
Cap:t=86,C5-1	C5-1	86	0.4
Cap:t=88,C5-1	C5-1	88	0.4
Cap:t=90,C5-1	C5-1	90	0.4
Cap:t=92,C5-1	C5-1	92	0.4
Cap:t=94,C5-1	C5-1	94	0.4
Cap:t=96,C5-1	C5-1	96	0.4
Cap:t=98,C5-1	C5-1	98	0.4
Cap:t=100,C5-1	C5-1	100	0.4
Cap:t=0,C5-5	C5-5	0	0.4
Cap:t=2,C5-5	C5-5	2	0.4
Cap:t=4,C5-5	C5-5	4	0.4
Cap:t=6,C5-5	C5-5	6	0.4
Cap:t=8,C5-5	C5-5	8	0.4
Cap:t=10,C5-5	C5-5	10	0.4
Cap:t=12,C5-5	C5-5	12	0.4
Cap:t=14,C5-5	C5-5	14	0.4
Cap:t=16,C5-5	C5-5	16	0.4
Cap:t=18,C5-5	C5-5	18	0.4
Cap:t=20,C5-5	C5-5	20	0.4
Cap:t=22,C5-5	C5-5	22	0.4
Cap:t=24,C5-5	C5-5	24	0.4
Cap:t=26,C5-5	C5-5	26	0.4
Cap:t=28,C5-5	C5-5	28	0.4
Cap:t=30,C5-5	C5-5	30	0.4
Cap:t=32,C5-5	C5-5	32	0.4
Cap:t=34,C5-5	C5-5	34	0.4
Cap:t=36,C5-5	C5-5	36	0.4
Cap:t=38,C5-5	C5-5	38	0.4
Cap:t=40,C5-5	C5-5	40	0.4
Cap:t=42,C5-5	C5-5	42	0.4
Cap:t=44,C5-5	C5-5	44	0.4
Cap:t=46,C5-5	C5-5	46	0.4
Cap:t=48,C5-5	C5-5	48	0.4
Cap:t=50,C5-5	C5-5	50	0.4
Cap:t=52,C5-5	C5-5	52	0.4
Cap:t=54,C5-5	C5-5	54	0.4
Cap:t=56,C5-5	C5-5	56	0.4
Cap:t=58,C5-5	C5-5	58	0.4
Cap:t=60,C5-5	C5-5	60	0.4
Cap:t=62,C5-5	C5-5	62	0.4
Cap:t=64,C5-5	C5-5	64	0.4
Cap:t=66,C5-5	C5-5	66	0.4
Cap:t=68,C5-5	C5-5	68	0.4
Cap:t=70,C5-5	C5-5	70	0.4
Cap:t=72,C5-5	C5-5	72	0.4
Cap:t=74,C5-5	C5-5	74	0.4
Cap:t=76,C5-5	C5-5	76	0.4
Cap:t=78,C5-5	C5-5	78	0.4
Cap:t=80,C5-5	C5-5	80	0.4
Cap:t=82,C5-5	C5-5	82	0.4
Cap:t=84,C5-5	C5-5	84	0.4
Cap:t=86,C5-5	C5-5	86	0.4
Cap:t=88,C5-5	C5-5	88	0.4
Cap:t=90,C5-5	C5-5	90	0.4
Cap:t=92,C5-5	C5-5	92	0.4
Cap:t=94,C5-5	C5-5	94	0.4
Cap:t=96,C5-5	C5-5	96	0.4
Cap:t=98,C5-5	C5-5	98	0.4
Cap:t=100,C5-5	C5-5	100	0.4
Cap:t=0,C5-9	C5-9	0	0.4
Cap:t=2,C5-9	C5-9	2	0.4
Cap:t=4,C5-9	C5-9	4	0.4
Cap:t=6,C5-9	C5-9	6	0.4
Cap:t=8,C5-9	C5-9	8	0.4
Cap:t=10,C5-9	C5-9	10	0.4
Cap:t=12,C5-9	C5-9	12	0.4
Cap:t=14,C5-9	C5-9	14	0.4
Cap:t=16,C5-9	C5-9	16	0.4
Cap:t=18,C5-9	C5-9	18	0.4
Cap:t=20,C5-9	C5-9	20	0.4
Cap:t=22,C5-9	C5-9	22	0.4
Cap:t=24,C5-9	C5-9	24	0.4
Cap:t=26,C5-9	C5-9	26	0.4
Cap:t=28,C5-9	C5-9	28	0.4
Cap:t=30,C5-9	C5-9	30	0.4
Cap:t=32,C5-9	C5-9	32	0.4
Cap:t=34,C5-9	C5-9	34	0.4
Cap:t=36,C5-9	C5-9	36	0.4
Cap:t=38,C5-9	C5-9	38	0.4
Cap:t=40,C5-9	C5-9	40	0.4
Cap:t=42,C5-9	C5-9	42	0.4
Cap:t=44,C5-9	C5-9	44	0.4
Cap:t=46,C5-9	C5-9	46	0.4
Cap:t=48,C5-9	C5-9	48	0.4
Cap:t=50,C5-9	C5-9	50	0.4
Cap:t=52,C5-9	C5-9	52	0.4
Cap:t=54,C5-9	C5-9	54	0.4
Cap:t=56,C5-9	C5-9	56	0.4
Cap:t=58,C5-9	C5-9	58	0.4
Cap:t=60,C5-9	C5-9	60	0.4
Cap:t=62,C5-9	C5-9	62	0.4
Cap:t=64,C5-9	C5-9	64	0.4
Cap:t=66,C5-9	C5-9	66	0.4
Cap:t=68,C5-9	C5-9	68	0.4
Cap:t=70,C5-9	C5-9	70	0.4
Cap:t=72,C5-9	C5-9	72	0.4
Cap:t=74,C5-9	C5-9	74	0.4
Cap:t=76,C5-9	C5-9	76	0.4
Cap:t=78,C5-9	C5-9	78	0.4
Cap:t=80,C5-9	C5-9	80	0.4
Cap:t=82,C5-9	C5-9	82	0.4
Cap:t=84,C5-9	C5-9	84	0.4
Cap:t=86,C5-9	C5-9	86	0.4
Cap:t=88,C5-9	C5-9	88	0.4
Cap:t=90,C5-9	C5-9	90	0.4
Cap:t=92,C5-9	C5-9	92	0.4
Cap:t=94,C5-9	C5-9	94	0.4
Cap:t=96,C5-9	C5-9	96	0.4
Cap:t=98,C5-9	C5-9	98	0.4
Cap:t=100,C5-9	C5-9	100	0.4
Cap:t=0,C9-1	C9-1	0	0.4
Cap:t=2,C9-1	C9-1	2	0.4
Cap:t=4,C9-1	C9-1	4	0.4
Cap:t=6,C9-1	C9-1	6	0.4
Cap:t=8,C9-1	C9-1	8	0.4
Cap:t=10,C9-1	C9-1	10	0.4
Cap:t=12,C9-1	C9-1	12	0.4
Cap:t=14,C9-1	C9-1	14	0.4
Cap:t=16,C9-1	C9-1	16	0.4
Cap:t=18,C9-1	C9-1	18	0.4
Cap:t=20,C9-1	C9-1	20	0.4
Cap:t=22,C9-1	C9-1	22	0.4
Cap:t=24,C9-1	C9-1	24	0.4
Cap:t=26,C9-1	C9-1	26	0.4
Cap:t=28,C9-1	C9-1	28	0.4
Cap:t=30,C9-1	C9-1	30	0.4
Cap:t=32,C9-1	C9-1	32	0.4
Cap:t=34,C9-1	C9-1	34	0.4
Cap:t=36,C9-1	C9-1	36	0.4
Cap:t=38,C9-1	C9-1	38	0.4
Cap:t=40,C9-1	C9-1	40	0.4
Cap:t=42,C9-1	C9-1	42	0.4
Cap:t=44,C9-1	C9-1	44	0.4
Cap:t=46,C9-1	C9-1	46	0.4
Cap:t=48,C9-1	C9-1	48	0.4
Cap:t=50,C9-1	C9-1	50	0.4
Cap:t=52,C9-1	C9-1	52	0.4
Cap:t=54,C9-1	C9-1	54	0.4
Cap:t=56,C9-1	C9-1	56	0.4
Cap:t=58,C9-1	C9-1	58	0.4
Cap:t=60,C9-1	C9-1	60	0.4
Cap:t=62,C9-1	C9-1	62	0.4
Cap:t=64,C9-1	C9-1	64	0.4
Cap:t=66,C9-1	C9-1	66	0.4
Cap:t=68,C9-1	C9-1	68	0.4
Cap:t=70,C9-1	C9-1	70	0.4
Cap:t=72,C9-1	C9-1	72	0.4
Cap:t=74,C9-1	C9-1	74	0.4
Cap:t=76,C9-1	C9-1	76	0.4
Cap:t=78,C9-1	C9-1	78	0.4
Cap:t=80,C9-1	C9-1	80	0.4
Cap:t=82,C9-1	C9-1	82	0.4
Cap:t=84,C9-1	C9-1	84	0.4
Cap:t=86,C9-1	C9-1	86	0.4
Cap:t=88,C9-1	C9-1	88	0.4
Cap:t=90,C9-1	C9-1	90	0.4
Cap:t=92,C9-1	C9-1	92	0.4
Cap:t=94,C9-1	C9-1	94	0.4
Cap:t=96,C9-1	C9-1	96	0.4
Cap:t=98,C9-1	C9-1	98	0.4
Cap:t=100,C9-1	C9-1	100	0.4
Cap:t=0,C9-5	C9-5	0	0.4
Cap:t=2,C9-5	C9-5	2	0.4
Cap:t=4,C9-5	C9-5	4	0.4
Cap:t=6,C9-5	C9-5	6	0.4
Cap:t=8,C9-5	C9-5	8	0.4
Cap:t=10,C9-5	C9-5	10	0.4
Cap:t=12,C9-5	C9-5	12	0.4
Cap:t=14,C9-5	C9-5	14	0.4
Cap:t=16,C9-5	C9-5	16	0.4
Cap:t=18,C9-5	C9-5	18	0.4
Cap:t=20,C9-5	C9-5	20	0.4
Cap:t=22,C9-5	C9-5	22	0.4
Cap:t=24,C9-5	C9-5	24	0.4
Cap:t=26,C9-5	C9-5	26	0.4
Cap:t=28,C9-5	C9-5	28	0.4
Cap:t=30,C9-5	C9-5	30	0.4
Cap:t=32,C9-5	C9-5	32	0.4
Cap:t=34,C9-5	C9-5	34	0.4
Cap:t=36,C9-5	C9-5	36	0.4
Cap:t=38,C9-5	C9-5	38	0.4
Cap:t=40,C9-5	C9-5	40	0.4
Cap:t=42,C9-5	C9-5	42	0.4
Cap:t=44,C9-5	C9-5	44	0.4
Cap:t=46,C9-5	C9-5	46	0.4
Cap:t=48,C9-5	C9-5	48	0.4
Cap:t=50,C9-5	C9-5	50	0.4
Cap:t=52,C9-5	C9-5	52	0.4
Cap:t=54,C9-5	C9-5	54	0.4
Cap:t=56,C9-5	C9-5	56	0.4
Cap:t=58,C9-5	C9-5	58	0.4
Cap:t=60,C9-5	C9-5	60	0.4
Cap:t=62,C9-5	C9-5	62	0.4
Cap:t=64,C9-5	C9-5	64	0.4
Cap:t=66,C9-5	C9-5	66	0.4
Cap:t=68,C9-5	C9-5	68	0.4
Cap:t=70,C9-5	C9-5	70	0.4
Cap:t=72,C9-5	C9-5	72	0.4
Cap:t=74,C9-5	C9-5	74	0.4
Cap:t=76,C9-5	C9-5	76	0.4
Cap:t=78,C9-5	C9-5	78	0.4
Cap:t=80,C9-5	C9-5	80	0.4
Cap:t=82,C9-5	C9-5	82	0.4
Cap:t=84,C9-5	C9-5	84	0.4
Cap:t=86,C9-5	C9-5	86	0.4
Cap:t=88,C9-5	C9-5	88	0.4
Cap:t=90,C9-5	C9-5	90	0.4
Cap:t=92,C9-5	C9-5	92	0.4
Cap:t=94,C9-5	C9-5	94	0.4
Cap:t=96,C9-5	C9-5	96	0.4
Cap:t=98,C9-5	C9-5	98	0.4
Cap:t=100,C9-5	C9-5	100	0.4
Cap:t=0,C9-9	C9-9	0	0.4
Cap:t=2,C9-9	C9-9	2	0.4
Cap:t=4,C9-9	C9-9	4	0.4
Cap:t=6,C9-9	C9-9	6	0.4
Cap:t=8,C9-9	C9-9	8	0.4
Cap:t=10,C9-9	C9-9	10	0.4
Cap:t=12,C9-9	C9-9	12	0.4
Cap:t=14,C9-9	C9-9	14	0.4
Cap:t=16,C9-9	C9-9	16	0.4
Cap:t=18,C9-9	C9-9	18	0.4
Cap:t=20,C9-9	C9-9	20	0.4
Cap:t=22,C9-9	C9-9	22	0.4
Cap:t=24,C9-9	C9-9	24	0.4
Cap:t=26,C9-9	C9-9	26	0.4
Cap:t=28,C9-9	C9-9	28	0.4
Cap:t=30,C9-9	C9-9	30	0.4
Cap:t=32,C9-9	C9-9	32	0.4
Cap:t=34,C9-9	C9-9	34	0.4
Cap:t=36,C9-9	C9-9	36	0.4
Cap:t=38,C9-9	C9-9	38	0.4
Cap:t=40,C9-9	C9-9	40	0.4
Cap:t=42,C9-9	C9-9	42	0.4
Cap:t=44,C9-9	C9-9	44	0.4
Cap:t=46,C9-9	C9-9	46	0.4
Cap:t=48,C9-9	C9-9	48	0.4
Cap:t=50,C9-9	C9-9	50	0.4
Cap:t=52,C9-9	C9-9	52	0.4
Cap:t=54,C9-9	C9-9	54	0.4
Cap:t=56,C9-9	C9-9	56	0.4
Cap:t=58,C9-9	C9-9	58	0.4
Cap:t=60,C9-9	C9-9	60	0.4
Cap:t=62,C9-9	C9-9	62	0.4
Cap:t=64,C9-9	C9-9	64	0.4
Cap:t=66,C9-9	C9-9	66	0.4
Cap:t=68,C9-9	C9-9	68	0.4
Cap:t=70,C9-9	C9-9	70	0.4
Cap:t=72,C9-9	C9-9	72	0.4
Cap:t=74,C9-9	C9-9	74	0.4
Cap:t=76,C9-9	C9-9	76	0.4
Cap:t=78,C9-9	C9-9	78	0.4
Cap:t=80,C9-9	C9-9	80	0.4
Cap:t=82,C9-9	C9-9	82	0.4
Cap:t=84,C9-9	C9-9	84	0.4
Cap:t=86,C9-9	C9-9	86	0.4
Cap:t=88,C9-9	C9-9	88	0.4
Cap:t=90,C9-9	C9-9	90	0.4
Cap:t=92,C9-9	C9-9	92	0.4
Cap:t=94,C9-9	C9-9	94	0.4
Cap:t=96,C9-9	C9-9	96	0.4
Cap:t=98,C9-9	C9-9	98	0.4
Cap:t=100,C9-9	C9-9	100	0.4
