ID	Time	Group	DS
Ind. 72	0	G4	S
Ind. 73	0	G4	S
Ind. 74	0	G4	S
Ind. 75	0	G4	S
Ind. 76	0	G4	S
Ind. 77	0	G4	S
Ind. 78	0	G4	S
Ind. 79	0	G4	S
Ind. 80	0	G4	S
Ind. 81	0	G5	I
Ind. 82	0	G5	S
Ind. 83	0	G5	S
Ind. 84	0	G5	S
Ind. 85	0	G5	S
Ind. 86	0	G5	S
Ind. 87	0	G5	S
Ind. 88	0	G5	S
Ind. 89	0	G5	S
Ind. 90	0	G5	S
Ind. 91	0	G5	S
Ind. 92	0	G5	S
Ind. 93	0	G5	S
Ind. 94	0	G5	S
Ind. 95	0	G5	S
Ind. 96	0	G5	S
Ind. 97	0	G5	S
Ind. 98	0	G5	S
Ind. 99	0	G5	S
Ind. 100	0	G5	S
Ind. 101	0	G6	I
Ind. 102	0	G6	S
Ind. 103	0	G6	S
Ind. 104	0	G6	S
Ind. 105	0	G6	S
Ind. 106	0	G6	S
Ind. 107	0	G6	S
Ind. 108	0	G6	S
Ind. 109	0	G6	S
Ind. 110	0	G6	S
Ind. 111	0	G6	S
Ind. 112	0	G6	S
Ind. 113	0	G6	S
Ind. 114	0	G6	S
Ind. 115	0	G6	S
Ind. 116	0	G6	S
Ind. 117	0	G6	S
Ind. 118	0	G6	S
Ind. 119	0	G6	S
Ind. 120	0	G6	S
Ind. 121	0	G7	I
Ind. 122	0	G7	S
Ind. 123	0	G7	S
Ind. 124	0	G7	S
Ind. 125	0	G7	S
Ind. 126	0	G7	S
Ind. 127	0	G7	S
Ind. 128	0	G7	S
Ind. 129	0	G7	S
Ind. 130	0	G7	S
Ind. 131	0	G7	S
Ind. 132	0	G7	S
Ind. 133	0	G7	S
Ind. 134	0	G7	S
Ind. 135	0	G7	S
Ind. 136	0	G7	S
Ind. 137	0	G7	S
Ind. 138	0	G7	S
Ind. 139	0	G7	S
Ind. 140	0	G7	S
Ind. 141	0	G8	I
Ind. 142	0	G8	S
Ind. 143	0	G8	S
Ind. 144	0	G8	S
Ind. 145	0	G8	S
Ind. 146	0	G8	S
Ind. 147	0	G8	S
Ind. 148	0	G8	S
Ind. 149	0	G8	S
Ind. 150	0	G8	S
Ind. 151	0	G8	S
Ind. 152	0	G8	S
Ind. 153	0	G8	S
Ind. 154	0	G8	S
Ind. 155	0	G8	S
Ind. 156	0	G8	S
Ind. 157	0	G8	S
Ind. 158	0	G8	S
Ind. 159	0	G8	S
Ind. 160	0	G8	S
Ind. 161	0	G9	I
Ind. 162	0	G9	S
Ind. 163	0	G9	S
Ind. 164	0	G9	S
Ind. 165	0	G9	S
Ind. 166	0	G9	S
Ind. 167	0	G9	S
Ind. 168	0	G9	S
Ind. 169	0	G9	S
Ind. 170	0	G9	S
Ind. 171	0	G9	S
Ind. 172	0	G9	S
Ind. 173	0	G9	S
Ind. 174	0	G9	S
Ind. 175	0	G9	S
Ind. 176	0	G9	S
Ind. 177	0	G9	S
Ind. 178	0	G9	S
Ind. 179	0	G9	S
Ind. 180	0	G9	S
Ind. 181	0	G10	I
Ind. 182	0	G10	S
Ind. 183	0	G10	S
Ind. 184	0	G10	S
Ind. 185	0	G10	S
Ind. 186	0	G10	S
Ind. 187	0	G10	S
Ind. 188	0	G10	S
Ind. 189	0	G10	S
Ind. 190	0	G10	S
Ind. 191	0	G10	S
Ind. 192	0	G10	S
Ind. 193	0	G10	S
Ind. 194	0	G10	S
Ind. 195	0	G10	S
Ind. 196	0	G10	S
Ind. 197	0	G10	S
Ind. 198	0	G10	S
Ind. 199	0	G10	S
Ind. 200	0	G10	S
Ind. 201	0	G11	I
Ind. 202	0	G11	S
Ind. 203	0	G11	S
Ind. 204	0	G11	S
Ind. 205	0	G11	S
Ind. 206	0	G11	S
Ind. 207	0	G11	S
Ind. 208	0	G11	S
Ind. 209	0	G11	S
Ind. 210	0	G11	S
Ind. 211	0	G11	S
Ind. 212	0	G11	S
Ind. 213	0	G11	S
Ind. 214	0	G11	S
Ind. 215	0	G11	S
Ind. 216	0	G11	S
Ind. 217	0	G11	S
Ind. 218	0	G11	S
Ind. 219	0	G11	S
Ind. 220	0	G11	S
Ind. 221	0	G12	I
Ind. 222	0	G12	S
Ind. 223	0	G12	S
Ind. 224	0	G12	S
Ind. 225	0	G12	S
Ind. 226	0	G12	S
Ind. 227	0	G12	S
Ind. 228	0	G12	S
Ind. 229	0	G12	S
Ind. 230	0	G12	S
Ind. 231	0	G12	S
Ind. 232	0	G12	S
Ind. 233	0	G12	S
Ind. 234	0	G12	S
Ind. 235	0	G12	S
Ind. 236	0	G12	S
Ind. 237	0	G12	S
Ind. 238	0	G12	S
Ind. 239	0	G12	S
Ind. 240	0	G12	S
