"ID","t","DS","Group","Sex"
"Prod-226","start","S","G6","F"
"Prod-801","start","S","G6","F"
"Prod-486","start","S","G6","M"
"Prod-1874","start","S","G6","F"
"Prod-1280","start","I","G7","F"
"Prod-448","start","I","G7","M"
"Prod-1200","start","S","G7","M"
"Prod-911","start","S","G7","F"
"Prod-558","start","S","G7","M"
"Prod-1450","start","S","G7","F"
"Prod-199","start","S","G7","M"
"Prod-685","start","S","G7","F"
"Prod-65","start","S","G7","F"
"Prod-620","start","S","G7","M"
"Prod-273","start","I","G8","M"
"Prod-1899","start","I","G8","M"
"Prod-1989","start","S","G8","M"
"Prod-192","start","S","G8","M"
"Prod-904","start","S","G8","F"
"Prod-1742","start","S","G8","M"
"Prod-978","start","S","G8","M"
"Prod-1499","start","S","G8","F"
"Prod-791","start","S","G8","M"
"Prod-64","start","S","G8","F"
"Prod-717","start","I","G9","M"
"Prod-98","start","I","G9","M"
"Prod-32","start","S","G9","M"
"Prod-1467","start","S","G9","F"
"Prod-1437","start","S","G9","M"
"Prod-938","start","S","G9","M"
"Prod-344","start","S","G9","M"
"Prod-887","start","S","G9","F"
"Prod-1806","start","S","G9","F"
"Prod-1141","start","S","G9","F"
"Prod-956","start","I","G10","M"
"Prod-1335","start","I","G10","F"
"Prod-510","start","S","G10","F"
"Prod-1649","start","S","G10","F"
"Prod-1839","start","S","G10","F"
"Prod-405","start","S","G10","M"
"Prod-417","start","S","G10","F"
"Prod-861","start","S","G10","F"
"Prod-1295","start","S","G10","M"
"Prod-108","start","S","G10","M"
"Prod-1674","start","I","G11","F"
"Prod-1173","start","I","G11","F"
"Prod-1623","start","S","G11","F"
"Prod-908","start","S","G11","F"
"Prod-1151","start","S","G11","F"
"Prod-890","start","S","G11","M"
"Prod-1717","start","S","G11","M"
"Prod-434","start","S","G11","F"
"Prod-1712","start","S","G11","F"
"Prod-614","start","S","G11","F"
"Prod-1","start","I","G12","M"
"Prod-804","start","I","G12","F"
"Prod-1284","start","S","G12","M"
"Prod-913","start","S","G12","F"
"Prod-433","start","S","G12","F"
"Prod-592","start","S","G12","F"
"Prod-889","start","S","G12","F"
"Prod-290","start","S","G12","F"
"Prod-1217","start","S","G12","M"
"Prod-351","start","S","G12","F"
"Prod-1405","start","I","G13","F"
"Prod-521","start","I","G13","M"
"Prod-1324","start","S","G13","M"
"Prod-1578","start","S","G13","M"
"Prod-310","start","S","G13","M"
"Prod-1354","start","S","G13","M"
"Prod-1400","start","S","G13","M"
"Prod-408","start","S","G13","F"
"Prod-1370","start","S","G13","M"
"Prod-392","start","S","G13","M"
"Prod-1267","start","I","G14","M"
"Prod-1039","start","I","G14","M"
"Prod-1557","start","S","G14","F"
"Prod-1314","start","S","G14","M"
"Prod-957","start","S","G14","F"
"Prod-1469","start","S","G14","F"
"Prod-1873","start","S","G14","M"
"Prod-1638","start","S","G14","M"
"Prod-1333","start","S","G14","M"
"Prod-1319","start","S","G14","M"
"Prod-1571","start","I","G15","M"
"Prod-1438","start","I","G15","F"
"Prod-1603","start","S","G15","F"
"Prod-1830","start","S","G15","F"
"Prod-8","start","S","G15","M"
"Prod-762","start","S","G15","M"
"Prod-553","start","S","G15","M"
"Prod-224","start","S","G15","F"
"Prod-753","start","S","G15","F"
"Prod-637","start","S","G15","F"
"Prod-1855","start","I","G16","M"
"Prod-739","start","I","G16","M"
"Prod-1988","start","S","G16","F"
"Prod-601","start","S","G16","F"
"Prod-26","start","S","G16","F"
"Prod-562","start","S","G16","F"
"Prod-463","start","S","G16","F"
"Prod-1494","start","S","G16","M"
"Prod-1386","start","S","G16","F"
"Prod-698","start","S","G16","M"
"Prod-472","start","I","G17","F"
"Prod-877","start","I","G17","M"
"Prod-843","start","S","G17","F"
"Prod-812","start","S","G17","F"
"Prod-796","start","S","G17","F"
"Prod-935","start","S","G17","M"
"Prod-1211","start","S","G17","M"
"Prod-1554","start","S","G17","F"
"Prod-327","start","S","G17","M"
"Prod-18","start","S","G17","F"
"Prod-245","start","I","G18","F"
"Prod-1693","start","I","G18","F"
"Prod-898","start","S","G18","M"
"Prod-1613","start","S","G18","M"
"Prod-758","start","S","G18","M"
"Prod-868","start","S","G18","F"
"Prod-1015","start","S","G18","M"
"Prod-263","start","S","G18","F"
"Prod-983","start","S","G18","M"
"Prod-268","start","S","G18","M"
"Prod-236","start","I","G19","F"
"Prod-168","start","I","G19","F"
"Prod-151","start","S","G19","F"
"Prod-1594","start","S","G19","M"
"Prod-775","start","S","G19","M"
"Prod-1054","start","S","G19","F"
"Prod-50","start","S","G19","F"
"Prod-1391","start","S","G19","M"
"Prod-559","start","S","G19","M"
"Prod-912","start","S","G19","F"
"Prod-1010","start","I","G20","M"
"Prod-1125","start","I","G20","F"
"Prod-285","start","S","G20","F"
"Prod-154","start","S","G20","M"
"Prod-1145","start","S","G20","F"
"Prod-1691","start","S","G20","M"
"Prod-1313","start","S","G20","F"
"Prod-554","start","S","G20","M"
"Prod-800","start","S","G20","M"
"Prod-958","start","S","G20","F"
"Prod-966","start","I","G21","F"
"Prod-1096","start","I","G21","M"
"Prod-166","start","S","G21","M"
"Prod-156","start","S","G21","M"
"Prod-1508","start","S","G21","F"
"Prod-921","start","S","G21","F"
"Prod-977","start","S","G21","M"
"Prod-1041","start","S","G21","F"
"Prod-675","start","S","G21","M"
"Prod-1759","start","S","G21","M"
"Prod-671","start","I","G22","M"
"Prod-555","start","I","G22","F"
"Prod-1443","start","S","G22","F"
"Prod-658","start","S","G22","M"
"Prod-1848","start","S","G22","M"
"Prod-1221","start","S","G22","M"
"Prod-1131","start","S","G22","F"
"Prod-1523","start","S","G22","M"
"Prod-763","start","S","G22","F"
"Prod-1315","start","S","G22","M"
"Prod-1725","start","I","G23","M"
"Prod-708","start","I","G23","F"
"Prod-799","start","S","G23","F"
"Prod-458","start","S","G23","M"
"Prod-1239","start","S","G23","F"
"Prod-215","start","S","G23","M"
"Prod-1905","start","S","G23","M"
"Prod-1581","start","S","G23","M"
"Prod-683","start","S","G23","F"
"Prod-202","start","S","G23","F"
"Prod-1820","start","I","G24","M"
"Prod-574","start","I","G24","F"
"Prod-1407","start","S","G24","F"
"Prod-524","start","S","G24","F"
"Prod-622","start","S","G24","F"
"Prod-981","start","S","G24","M"
"Prod-968","start","S","G24","F"
"Prod-615","start","S","G24","M"
"Prod-1823","start","S","G24","M"
"Prod-1247","start","S","G24","F"
"Prod-1077","start","I","G25","F"
"Prod-788","start","I","G25","F"
"Prod-1970","start","S","G25","M"
"Prod-1688","start","S","G25","M"
"Prod-34","start","S","G25","F"
"Prod-261","start","S","G25","M"
"Prod-379","start","S","G25","F"
"Prod-1711","start","S","G25","M"
"Prod-1700","start","S","G25","M"
"Prod-1555","start","S","G25","F"
"Prod-487","start","I","G26","F"
"Prod-47","start","I","G26","F"
"Prod-577","start","S","G26","F"
"Prod-295","start","S","G26","F"
"Prod-1748","start","S","G26","F"
"Prod-895","start","S","G26","F"
"Prod-1792","start","S","G26","F"
"Prod-1647","start","S","G26","F"
"Prod-1180","start","S","G26","F"
"Prod-955","start","S","G26","M"
"Prod-258","start","I","G27","F"
"Prod-1105","start","I","G27","M"
"Prod-1802","start","S","G27","M"
"Prod-970","start","S","G27","M"
"Prod-873","start","S","G27","M"
"Prod-1849","start","S","G27","F"
"Prod-15","start","S","G27","F"
"Prod-1198","start","S","G27","M"
"Prod-502","start","S","G27","F"
"Prod-1254","start","S","G27","M"
"Prod-393","start","I","G28","M"
"Prod-1681","start","I","G28","F"
"Prod-1773","start","S","G28","F"
"Prod-1850","start","S","G28","F"
"Prod-1120","start","S","G28","M"
"Prod-1587","start","S","G28","F"
"Prod-1709","start","S","G28","M"
"Prod-1390","start","S","G28","M"
"Prod-1424","start","S","G28","F"
"Prod-1527","start","S","G28","F"
"Prod-565","start","I","G29","M"
"Prod-937","start","I","G29","F"
"Prod-652","start","S","G29","F"
"Prod-208","start","S","G29","F"
"Prod-493","start","S","G29","M"
"Prod-200","start","S","G29","M"
"Prod-543","start","S","G29","M"
"Prod-965","start","S","G29","F"
"Prod-994","start","S","G29","F"
"Prod-1864","start","S","G29","F"
"Prod-250","start","I","G30","M"
"Prod-1070","start","I","G30","M"
"Prod-1556","start","S","G30","F"
"Prod-742","start","S","G30","F"
"Prod-810","start","S","G30","M"
"Prod-1707","start","S","G30","M"
"Prod-1219","start","S","G30","F"
"Prod-546","start","S","G30","M"
"Prod-1017","start","S","G30","F"
"Prod-9","start","S","G30","F"
"Prod-1129","start","I","G31","M"
"Prod-341","start","I","G31","F"
"Prod-526","start","S","G31","M"
"Prod-1075","start","S","G31","F"
"Prod-1992","start","S","G31","F"
"Prod-1004","start","S","G31","M"
"Prod-1005","start","S","G31","M"
"Prod-1113","start","S","G31","F"
"Prod-1813","start","S","G31","M"
"Prod-1921","start","S","G31","F"
"Prod-1826","start","I","G32","F"
"Prod-1136","start","I","G32","M"
"Prod-953","start","S","G32","F"
"Prod-1927","start","S","G32","M"
"Prod-139","start","S","G32","F"
"Prod-37","start","S","G32","M"
"Prod-439","start","S","G32","F"
"Prod-302","start","S","G32","M"
"Prod-547","start","S","G32","F"
"Prod-1575","start","S","G32","F"
"Prod-89","start","I","G33","F"
"Prod-1498","start","I","G33","F"
"Prod-355","start","S","G33","F"
"Prod-318","start","S","G33","F"
"Prod-1734","start","S","G33","M"
"Prod-1038","start","S","G33","M"
"Prod-162","start","S","G33","F"
"Prod-1500","start","S","G33","M"
"Prod-792","start","S","G33","M"
"Prod-850","start","S","G33","F"
"Prod-167","start","I","G34","M"
"Prod-808","start","I","G34","M"
"Prod-1730","start","S","G34","M"
"Prod-207","start","S","G34","F"
"Prod-1758","start","S","G34","M"
"Prod-1685","start","S","G34","M"
"Prod-1101","start","S","G34","F"
"Prod-1520","start","S","G34","F"
"Prod-539","start","S","G34","M"
"Prod-1385","start","S","G34","F"
"Prod-467","start","I","G35","F"
"Prod-932","start","I","G35","M"
"Prod-881","start","S","G35","M"
"Prod-1104","start","S","G35","M"
"Prod-1948","start","S","G35","F"
"Prod-1476","start","S","G35","M"
"Prod-1551","start","S","G35","F"
"Prod-1317","start","S","G35","F"
"Prod-587","start","S","G35","F"
"Prod-1273","start","S","G35","F"
"Prod-1046","start","I","G36","M"
"Prod-886","start","I","G36","M"
"Prod-1676","start","S","G36","M"
"Prod-238","start","S","G36","F"
"Prod-367","start","S","G36","M"
"Prod-91","start","S","G36","F"
"Prod-1455","start","S","G36","F"
"Prod-1703","start","S","G36","F"
"Prod-702","start","S","G36","M"
"Prod-116","start","S","G36","M"
"Prod-1851","start","I","G37","M"
"Prod-1769","start","I","G37","M"
"Prod-1427","start","S","G37","F"
"Prod-316","start","S","G37","F"
"Prod-949","start","S","G37","M"
"Prod-1051","start","S","G37","M"
"Prod-901","start","S","G37","M"
"Prod-328","start","S","G37","F"
"Prod-160","start","S","G37","F"
"Prod-646","start","S","G37","M"
"Prod-1741","start","I","G38","F"
"Prod-993","start","I","G38","F"
"Prod-277","start","S","G38","F"
"Prod-1590","start","S","G38","F"
"Prod-534","start","S","G38","F"
"Prod-1360","start","S","G38","M"
"Prod-1744","start","S","G38","F"
"Prod-1929","start","S","G38","M"
"Prod-691","start","S","G38","M"
"Prod-1780","start","S","G38","F"
"Prod-1043","start","I","G39","M"
"Prod-1082","start","I","G39","F"
"Prod-1731","start","S","G39","F"
"Prod-654","start","S","G39","F"
"Prod-106","start","S","G39","F"
"Prod-374","start","S","G39","F"
"Prod-1248","start","S","G39","F"
"Prod-1164","start","S","G39","M"
"Prod-313","start","S","G39","M"
"Prod-863","start","S","G39","M"
"Prod-1570","start","I","G40","M"
"Prod-128","start","I","G40","F"
"Prod-1569","start","S","G40","F"
"Prod-398","start","S","G40","M"
"Prod-1617","start","S","G40","F"
"Prod-694","start","S","G40","M"
"Prod-1501","start","S","G40","F"
"Prod-980","start","S","G40","M"
"Prod-1493","start","S","G40","F"
"Prod-360","start","S","G40","M"
"Prod-12","start","I","G41","F"
"Prod-1109","start","I","G41","F"
"Prod-1757","start","S","G41","F"
"Prod-728","start","S","G41","F"
"Prod-1044","start","S","G41","M"
"Prod-1066","start","S","G41","M"
"Prod-136","start","S","G41","M"
"Prod-130","start","S","G41","M"
"Prod-974","start","S","G41","M"
"Prod-1156","start","S","G41","F"
"Prod-231","start","I","G42","M"
"Prod-103","start","I","G42","M"
"Prod-1803","start","S","G42","M"
"Prod-1910","start","S","G42","F"
"Prod-1710","start","S","G42","M"
"Prod-1153","start","S","G42","F"
"Prod-1875","start","S","G42","F"
"Prod-41","start","S","G42","M"
"Prod-127","start","S","G42","F"
"Prod-1194","start","S","G42","M"
"Prod-1951","start","I","G43","F"
"Prod-1056","start","I","G43","F"
"Prod-930","start","S","G43","F"
"Prod-907","start","S","G43","M"
"Prod-1108","start","S","G43","M"
"Prod-1533","start","S","G43","F"
"Prod-247","start","S","G43","F"
"Prod-54","start","S","G43","F"
"Prod-1329","start","S","G43","F"
"Prod-201","start","S","G43","F"
"Prod-376","start","I","G44","F"
"Prod-1089","start","I","G44","M"
"Prod-748","start","S","G44","F"
"Prod-1607","start","S","G44","M"
"Prod-999","start","S","G44","F"
"Prod-1949","start","S","G44","F"
"Prod-919","start","S","G44","F"
"Prod-319","start","S","G44","F"
"Prod-1904","start","S","G44","M"
"Prod-1721","start","S","G44","M"
"Prod-297","start","I","G45","F"
"Prod-1652","start","I","G45","M"
"Prod-1067","start","S","G45","F"
"Prod-1604","start","S","G45","F"
"Prod-1553","start","S","G45","M"
"Prod-71","start","S","G45","M"
"Prod-773","start","S","G45","M"
"Prod-133","start","S","G45","M"
"Prod-1448","start","S","G45","F"
"Prod-484","start","S","G45","F"
"Prod-1081","start","I","G46","M"
"Prod-410","start","I","G46","F"
"Prod-1683","start","S","G46","F"
"Prod-1935","start","S","G46","F"
"Prod-1121","start","S","G46","M"
"Prod-1157","start","S","G46","M"
"Prod-135","start","S","G46","M"
"Prod-1126","start","S","G46","F"
"Prod-473","start","S","G46","F"
"Prod-885","start","S","G46","F"
"Prod-1611","start","I","G47","F"
"Prod-79","start","I","G47","M"
"Prod-946","start","S","G47","F"
"Prod-1610","start","S","G47","F"
"Prod-1139","start","S","G47","M"
"Prod-990","start","S","G47","M"
"Prod-1116","start","S","G47","F"
"Prod-1160","start","S","G47","M"
"Prod-1429","start","S","G47","F"
"Prod-252","start","S","G47","F"
"Prod-1322","start","I","G48","M"
"Prod-371","start","I","G48","F"
"Prod-1843","start","S","G48","F"
"Prod-600","start","S","G48","M"
"Prod-1213","start","S","G48","F"
"Prod-1750","start","S","G48","F"
"Prod-1359","start","S","G48","F"
"Prod-672","start","S","G48","M"
"Prod-1013","start","S","G48","F"
"Prod-1564","start","S","G48","M"
"Prod-180","start","I","G49","F"
"Prod-747","start","I","G49","F"
"Prod-205","start","S","G49","F"
"Prod-746","start","S","G49","M"
"Prod-1959","start","S","G49","F"
"Prod-507","start","S","G49","F"
"Prod-1993","start","S","G49","M"
"Prod-1195","start","S","G49","M"
"Prod-115","start","S","G49","F"
"Prod-1513","start","S","G49","F"
"Prod-1648","start","I","G50","M"
"Prod-1697","start","I","G50","F"
"Prod-1579","start","S","G50","M"
"Prod-1636","start","S","G50","M"
"Prod-624","start","S","G50","M"
"Prod-49","start","S","G50","M"
"Prod-1278","start","S","G50","F"
"Prod-347","start","S","G50","M"
"Prod-62","start","S","G50","M"
"Prod-883","start","S","G50","F"
"Prod-1381","start","I","G51","M"
"Prod-1396","start","I","G51","F"
"Prod-860","start","S","G51","M"
"Prod-174","start","S","G51","M"
"Prod-186","start","S","G51","M"
"Prod-1669","start","S","G51","F"
"Prod-1188","start","S","G51","M"
"Prod-1620","start","S","G51","M"
"Prod-1490","start","S","G51","F"
"Prod-345","start","S","G51","M"
"Prod-1599","start","I","G52","F"
"Prod-1699","start","I","G52","M"
"Prod-1842","start","S","G52","F"
"Prod-1304","start","S","G52","M"
"Prod-1687","start","S","G52","M"
"Prod-1537","start","S","G52","M"
"Prod-1866","start","S","G52","M"
"Prod-668","start","S","G52","M"
"Prod-1366","start","S","G52","M"
"Prod-1487","start","S","G52","M"
"Prod-793","start","I","G53","M"
"Prod-483","start","I","G53","M"
"Prod-395","start","S","G53","M"
"Prod-1597","start","S","G53","M"
"Prod-488","start","S","G53","M"
"Prod-21","start","S","G53","F"
"Prod-610","start","S","G53","F"
"Prod-667","start","S","G53","M"
"Prod-1369","start","S","G53","M"
"Prod-1977","start","S","G53","M"
"Prod-338","start","I","G54","F"
"Prod-774","start","I","G54","F"
"Prod-1222","start","S","G54","M"
"Prod-1328","start","S","G54","F"
"Prod-940","start","S","G54","M"
"Prod-1334","start","S","G54","M"
"Prod-272","start","S","G54","F"
"Prod-1496","start","S","G54","M"
"Prod-1112","start","S","G54","F"
"Prod-1987","start","S","G54","M"
"Prod-602","start","I","G55","M"
"Prod-356","start","I","G55","F"
"Prod-979","start","S","G55","F"
"Prod-573","start","S","G55","F"
"Prod-1646","start","S","G55","M"
"Prod-1912","start","S","G55","F"
"Prod-1645","start","S","G55","M"
"Prod-462","start","S","G55","F"
"Prod-1023","start","S","G55","F"
"Prod-171","start","S","G55","M"
"Prod-387","start","I","G56","F"
"Prod-237","start","I","G56","F"
"Prod-1546","start","S","G56","F"
"Prod-1403","start","S","G56","F"
"Prod-663","start","S","G56","M"
"Prod-1902","start","S","G56","M"
"Prod-1714","start","S","G56","F"
"Prod-1034","start","S","G56","M"
"Prod-1411","start","S","G56","M"
"Prod-1560","start","S","G56","M"
"Prod-1419","start","I","G57","F"
"Prod-353","start","I","G57","M"
"Prod-1901","start","S","G57","M"
"Prod-1184","start","S","G57","M"
"Prod-530","start","S","G57","F"
"Prod-1566","start","S","G57","M"
"Prod-1770","start","S","G57","F"
"Prod-825","start","S","G57","M"
"Prod-340","start","S","G57","M"
"Prod-1746","start","S","G57","M"
"Prod-1349","start","I","G58","F"
"Prod-710","start","I","G58","M"
"Prod-260","start","S","G58","M"
"Prod-1914","start","S","G58","M"
"Prod-1522","start","S","G58","F"
"Prod-1953","start","S","G58","M"
"Prod-1521","start","S","G58","M"
"Prod-1327","start","S","G58","F"
"Prod-1880","start","S","G58","F"
"Prod-1856","start","S","G58","M"
"Prod-1276","start","I","G59","M"
"Prod-846","start","I","G59","M"
"Prod-48","start","S","G59","M"
"Prod-1086","start","S","G59","F"
"Prod-515","start","S","G59","M"
"Prod-699","start","S","G59","M"
"Prod-1736","start","S","G59","F"
"Prod-995","start","S","G59","F"
"Prod-1671","start","S","G59","F"
"Prod-1040","start","S","G59","F"
"Prod-394","start","I","G60","F"
"Prod-1275","start","I","G60","F"
"Prod-1196","start","S","G60","F"
"Prod-349","start","S","G60","F"
"Prod-1011","start","S","G60","M"
"Prod-948","start","S","G60","F"
"Prod-1127","start","S","G60","M"
"Prod-909","start","S","G60","F"
"Prod-1706","start","S","G60","F"
"Prod-1771","start","S","G60","M"
"Prod-1059","start","I","G61","M"
"Prod-845","start","I","G61","F"
"Prod-418","start","S","G61","M"
"Prod-1484","start","S","G61","F"
"Prod-1926","start","S","G61","M"
"Prod-45","start","S","G61","F"
"Prod-14","start","S","G61","M"
"Prod-1092","start","S","G61","M"
"Prod-1234","start","S","G61","F"
"Prod-78","start","S","G61","F"
"Prod-716","start","I","G62","M"
"Prod-727","start","I","G62","M"
"Prod-1368","start","S","G62","M"
"Prod-1931","start","S","G62","M"
"Prod-1216","start","S","G62","M"
"Prod-1069","start","S","G62","M"
"Prod-193","start","S","G62","F"
"Prod-864","start","S","G62","M"
"Prod-537","start","S","G62","F"
"Prod-1999","start","S","G62","F"
"Prod-639","start","I","G63","F"
"Prod-841","start","I","G63","M"
"Prod-466","start","S","G63","M"
"Prod-1351","start","S","G63","M"
"Prod-317","start","S","G63","M"
"Prod-1305","start","S","G63","M"
"Prod-1524","start","S","G63","F"
"Prod-1418","start","S","G63","F"
"Prod-1761","start","S","G63","F"
"Prod-365","start","S","G63","M"
"Prod-266","start","I","G64","F"
"Prod-1933","start","I","G64","F"
"Prod-1634","start","S","G64","F"
"Prod-880","start","S","G64","M"
"Prod-431","start","S","G64","F"
"Prod-1259","start","S","G64","F"
"Prod-134","start","S","G64","M"
"Prod-243","start","S","G64","F"
"Prod-1986","start","S","G64","M"
"Prod-752","start","S","G64","M"
"Prod-309","start","I","G65","M"
"Prod-1220","start","I","G65","F"
"Prod-1451","start","S","G65","M"
"Prod-1272","start","S","G65","M"
"Prod-476","start","S","G65","M"
"Prod-535","start","S","G65","M"
"Prod-497","start","S","G65","F"
"Prod-1466","start","S","G65","M"
"Prod-1296","start","S","G65","F"
"Prod-1245","start","S","G65","M"
"Prod-1877","start","I","G66","F"
"Prod-172","start","I","G66","F"
"Prod-1832","start","S","G66","F"
"Prod-1489","start","S","G66","F"
"Prod-926","start","S","G66","M"
"Prod-1946","start","S","G66","F"
"Prod-767","start","S","G66","M"
"Prod-1441","start","S","G66","M"
"Prod-1020","start","S","G66","F"
"Prod-1345","start","S","G66","F"
"Prod-1654","start","I","G67","M"
"Prod-1318","start","I","G67","F"
"Prod-275","start","S","G67","M"
"Prod-1414","start","S","G67","F"
"Prod-336","start","S","G67","M"
"Prod-1053","start","S","G67","M"
"Prod-109","start","S","G67","F"
"Prod-296","start","S","G67","M"
"Prod-701","start","S","G67","M"
"Prod-1236","start","S","G67","F"
"Prod-262","start","I","G68","M"
"Prod-112","start","I","G68","M"
"Prod-687","start","S","G68","F"
"Prod-626","start","S","G68","F"
"Prod-1890","start","S","G68","M"
"Prod-1064","start","S","G68","F"
"Prod-1001","start","S","G68","M"
"Prod-1836","start","S","G68","M"
"Prod-959","start","S","G68","M"
"Prod-1797","start","S","G68","F"
"Prod-140","start","I","G69","F"
"Prod-1353","start","I","G69","F"
"Prod-1168","start","S","G69","F"
"Prod-1022","start","S","G69","F"
"Prod-1029","start","S","G69","F"
"Prod-1995","start","S","G69","M"
"Prod-1055","start","S","G69","F"
"Prod-1138","start","S","G69","F"
"Prod-1831","start","S","G69","M"
"Prod-1203","start","S","G69","M"
"Prod-52","start","I","G70","M"
"Prod-1720","start","I","G70","F"
"Prod-616","start","S","G70","F"
"Prod-1471","start","S","G70","F"
"Prod-872","start","S","G70","F"
"Prod-82","start","S","G70","F"
"Prod-1615","start","S","G70","F"
"Prod-837","start","S","G70","F"
"Prod-407","start","S","G70","M"
"Prod-848","start","S","G70","M"
"Prod-560","start","I","G71","F"
"Prod-30","start","I","G71","F"
"Prod-1938","start","S","G71","F"
"Prod-188","start","S","G71","M"
"Prod-194","start","S","G71","M"
"Prod-1249","start","S","G71","M"
"Prod-346","start","S","G71","F"
"Prod-684","start","S","G71","F"
"Prod-1978","start","S","G71","M"
"Prod-185","start","S","G71","F"
"Prod-1930","start","I","G72","M"
"Prod-1110","start","I","G72","M"
"Prod-1776","start","S","G72","F"
"Prod-1879","start","S","G72","M"
"Prod-916","start","S","G72","F"
"Prod-195","start","S","G72","F"
"Prod-844","start","S","G72","F"
"Prod-588","start","S","G72","F"
"Prod-1165","start","S","G72","M"
"Prod-1470","start","S","G72","F"
"Prod-479","start","I","G73","F"
"Prod-435","start","I","G73","M"
"Prod-1478","start","S","G73","F"
"Prod-284","start","S","G73","F"
"Prod-96","start","S","G73","F"
"Prod-736","start","S","G73","M"
"Prod-57","start","S","G73","F"
"Prod-1375","start","S","G73","F"
"Prod-1208","start","S","G73","M"
"Prod-129","start","S","G73","M"
"Prod-1586","start","I","G74","M"
"Prod-1132","start","I","G74","F"
"Prod-385","start","S","G74","F"
"Prod-1230","start","S","G74","F"
"Prod-1507","start","S","G74","F"
"Prod-468","start","S","G74","F"
"Prod-1934","start","S","G74","M"
"Prod-1584","start","S","G74","M"
"Prod-1384","start","S","G74","M"
"Prod-1853","start","S","G74","M"
"Prod-725","start","I","G75","M"
"Prod-905","start","I","G75","M"
"Prod-1547","start","S","G75","F"
"Prod-607","start","S","G75","F"
"Prod-312","start","S","G75","F"
"Prod-1240","start","S","G75","F"
"Prod-1376","start","S","G75","F"
"Prod-485","start","S","G75","F"
"Prod-158","start","S","G75","F"
"Prod-1297","start","S","G75","F"
"Prod-432","start","I","G76","M"
"Prod-489","start","I","G76","F"
"Prod-144","start","S","G76","M"
"Prod-1629","start","S","G76","F"
"Prod-606","start","S","G76","F"
"Prod-782","start","S","G76","F"
"Prod-1037","start","S","G76","M"
"Prod-1857","start","S","G76","M"
"Prod-1981","start","S","G76","M"
"Prod-1558","start","S","G76","F"
"Prod-1397","start","I","G77","M"
"Prod-1766","start","I","G77","M"
"Prod-1432","start","S","G77","F"
"Prod-1781","start","S","G77","F"
"Prod-931","start","S","G77","M"
"Prod-1859","start","S","G77","F"
"Prod-857","start","S","G77","F"
"Prod-1794","start","S","G77","F"
"Prod-1840","start","S","G77","F"
"Prod-579","start","S","G77","M"
"Prod-633","start","I","G78","F"
"Prod-1668","start","I","G78","M"
"Prod-1845","start","S","G78","M"
"Prod-947","start","S","G78","M"
"Prod-822","start","S","G78","M"
"Prod-835","start","S","G78","M"
"Prod-1035","start","S","G78","M"
"Prod-286","start","S","G78","F"
"Prod-1408","start","S","G78","F"
"Prod-165","start","S","G78","M"
"Prod-464","start","I","G79","M"
"Prod-25","start","I","G79","M"
"Prod-1231","start","S","G79","M"
"Prod-1485","start","S","G79","F"
"Prod-1402","start","S","G79","F"
"Prod-627","start","S","G79","M"
"Prod-451","start","S","G79","M"
"Prod-664","start","S","G79","F"
"Prod-1373","start","S","G79","F"
"Prod-950","start","S","G79","M"
"Prod-900","start","I","G80","M"
"Prod-382","start","I","G80","M"
"Prod-971","start","S","G80","M"
"Prod-289","start","S","G80","M"
"Prod-733","start","S","G80","M"
"Prod-1778","start","S","G80","M"
"Prod-414","start","S","G80","F"
"Prod-749","start","S","G80","M"
