"name","x","y"
"G11-9",120,150
"G11-10",135,150
"G11-11",150,150
"G11-12",165,150
"G11-13",180,150
"G11-14",195,150
"G11-15",210,150
"G11-16",225,150
"G11-17",240,150
"G11-18",255,150
"G11-19",270,150
"G11-20",285,150
"G12-1",0,165
"G12-2",15,165
"G12-3",30,165
"G12-4",45,165
"G12-5",60,165
"G12-6",75,165
"G12-7",90,165
"G12-8",105,165
"G12-9",120,165
"G12-10",135,165
"G12-11",150,165
"G12-12",165,165
"G12-13",180,165
"G12-14",195,165
"G12-15",210,165
"G12-16",225,165
"G12-17",240,165
"G12-18",255,165
"G12-19",270,165
"G12-20",285,165
"G13-1",0,180
"G13-2",15,180
"G13-3",30,180
"G13-4",45,180
"G13-5",60,180
"G13-6",75,180
"G13-7",90,180
"G13-8",105,180
"G13-9",120,180
"G13-10",135,180
"G13-11",150,180
"G13-12",165,180
"G13-13",180,180
"G13-14",195,180
"G13-15",210,180
"G13-16",225,180
"G13-17",240,180
"G13-18",255,180
"G13-19",270,180
"G13-20",285,180
"G14-1",0,195
"G14-2",15,195
"G14-3",30,195
"G14-4",45,195
"G14-5",60,195
"G14-6",75,195
"G14-7",90,195
"G14-8",105,195
"G14-9",120,195
"G14-10",135,195
"G14-11",150,195
"G14-12",165,195
"G14-13",180,195
"G14-14",195,195
"G14-15",210,195
"G14-16",225,195
"G14-17",240,195
"G14-18",255,195
"G14-19",270,195
"G14-20",285,195
"G15-1",0,210
"G15-2",15,210
"G15-3",30,210
"G15-4",45,210
"G15-5",60,210
"G15-6",75,210
"G15-7",90,210
"G15-8",105,210
"G15-9",120,210
"G15-10",135,210
"G15-11",150,210
"G15-12",165,210
"G15-13",180,210
"G15-14",195,210
"G15-15",210,210
"G15-16",225,210
"G15-17",240,210
"G15-18",255,210
"G15-19",270,210
"G15-20",285,210
"G16-1",0,225
"G16-2",15,225
"G16-3",30,225
"G16-4",45,225
"G16-5",60,225
"G16-6",75,225
"G16-7",90,225
"G16-8",105,225
"G16-9",120,225
"G16-10",135,225
"G16-11",150,225
"G16-12",165,225
"G16-13",180,225
"G16-14",195,225
"G16-15",210,225
"G16-16",225,225
"G16-17",240,225
"G16-18",255,225
"G16-19",270,225
"G16-20",285,225
"G17-1",0,240
"G17-2",15,240
"G17-3",30,240
"G17-4",45,240
"G17-5",60,240
"G17-6",75,240
"G17-7",90,240
"G17-8",105,240
"G17-9",120,240
"G17-10",135,240
"G17-11",150,240
"G17-12",165,240
"G17-13",180,240
"G17-14",195,240
"G17-15",210,240
"G17-16",225,240
"G17-17",240,240
"G17-18",255,240
"G17-19",270,240
"G17-20",285,240
"G18-1",0,255
"G18-2",15,255
"G18-3",30,255
"G18-4",45,255
"G18-5",60,255
"G18-6",75,255
"G18-7",90,255
"G18-8",105,255
"G18-9",120,255
"G18-10",135,255
"G18-11",150,255
"G18-12",165,255
"G18-13",180,255
"G18-14",195,255
"G18-15",210,255
"G18-16",225,255
"G18-17",240,255
"G18-18",255,255
"G18-19",270,255
"G18-20",285,255
"G19-1",0,270
"G19-2",15,270
"G19-3",30,270
"G19-4",45,270
"G19-5",60,270
"G19-6",75,270
"G19-7",90,270
"G19-8",105,270
"G19-9",120,270
"G19-10",135,270
"G19-11",150,270
"G19-12",165,270
"G19-13",180,270
"G19-14",195,270
"G19-15",210,270
"G19-16",225,270
"G19-17",240,270
"G19-18",255,270
"G19-19",270,270
"G19-20",285,270
"G20-1",0,285
"G20-2",15,285
"G20-3",30,285
"G20-4",45,285
"G20-5",60,285
"G20-6",75,285
"G20-7",90,285
"G20-8",105,285
"G20-9",120,285
"G20-10",135,285
"G20-11",150,285
"G20-12",165,285
"G20-13",180,285
"G20-14",195,285
"G20-15",210,285
"G20-16",225,285
"G20-17",240,285
"G20-18",255,285
"G20-19",270,285
"G20-20",285,285
