"l","l'",Value
"Delhi","Chicago","0.00414129"
"Delhi","Heze","0.0134925"
"Delhi","Chongqing","0.0173026"
"Delhi","Hanoi","0.0163821"
"Delhi","Fuyang","0.0133485"
"Delhi","Changsha","0.0141513"
"Delhi","Dongguan","0.0133544"
"Delhi","Jining","0.0131277"
"Delhi","Jinan","0.0129914"
"Delhi","Pune","0.0406853"
"Delhi","Foshan","0.0135799"
"Delhi","Bogota","0.00327723"
"Delhi","Ahmedabad","0.0602681"
"Delhi","Nanjing","0.0124067"
"Delhi","Changchun","0.0108737"
"Delhi","Tangshan","0.0125843"
"Delhi","Cangzhou","0.0129994"
"Delhi","Dar-es-Salaam","0.00875311"
"Delhi","Hefei","0.012845"
"Delhi","Hong-Kong","0.0131166"
"Delhi","Shaoyang","0.0146761"
"Delhi","Zhanjiang","0.0143443"
"Delhi","Shangqiu","0.0134216"
"Delhi","Nantong","0.0118213"
"Delhi","Yancheng","0.0120649"
"Delhi","Nanning","0.0155163"
"Delhi","Hengyang","0.0141945"
"Delhi","Zhumadian","0.0139685"
"Delhi","Shenyang","0.0112753"
"Delhi","Xingtai","0.013781"
"Delhi","Xi'an","0.0160987"
"Delhi","Santiago","0.00294594"
"Delhi","Yantai","0.0118196"
"Delhi","Riyadh","0.0160982"
"Delhi","Luoyang","0.0145756"
"Delhi","Kunming","0.0191901"
"Delhi","Shangrao","0.0124692"
"Delhi","Hangzhou","0.0119406"
"Delhi","Bijie","0.0178308"
"Delhi","Quanzhou","0.0120269"
"Delhi","Miami","0.00369056"
"Delhi","Wuxi","0.0119661"
"Delhi","Huanggang","0.0135829"
"Delhi","Maoming","0.0142138"
"Delhi","Nanchong","0.0176109"
"Delhi","Zunyi","0.016909"
"Delhi","Qujing","0.0185203"
"Delhi","Baghdad","0.0155966"
"Delhi","Xinyang","0.0139347"
"Manila","Tokyo","0.0163928"
"Manila","Jakarta","0.0176019"
"Manila","Delhi","0.0104045"
"Manila","Sao-Paulo","0.00271319"
"Manila","Seoul","0.0187198"
"Manila","Mumbai","0.00965469"
"Manila","Shanghai","0.026416"
"Manila","Mexico-City","0.00350394"
"Manila","Guangzhou","0.0385122"
"Manila","Cairo","0.00541851"
"Manila","Beijing","0.0172489"
"Manila","New-York","0.00364241"
"Manila","Kolkata","0.0139196"
"Manila","Moscow","0.00601885"
"Manila","Bangkok","0.0221457"
"Manila","Dhaka","0.0146589"
"Manila","Buenos-Aires","0.00280264"
"Manila","Osaka","0.0183911"
"Manila","Lagos","0.00390701"
"Manila","Istanbul","0.0054555"
"Manila","Karachi","0.0086543"
"Manila","Kinshasa","0.00421467"
"Manila","Shenzhen","0.0418447"
"Manila","Bangalore","0.0105653"
"Manila","Ho-Chi-Minh-City","0.0300861"
"Manila","Tehran","0.0068626"
"Manila","Los-Angeles","0.00424565"
"Manila","Rio-de-Janeiro","0.00275292"
"Manila","Chengdu","0.0197301"
"Manila","Baoding","0.0178467"
"Manila","Chennai","0.0112545"
"Manila","Lahore","0.00973815"
"Manila","London","0.0046361"
"Manila","Paris","0.00463241"
"Manila","Tianjin","0.0178293"
"Manila","Linyi","0.0213639"
"Manila","Shijiazhuang","0.018292"
"Manila","Zhengzhou","0.0207683"
"Manila","Nanyang","0.0220559"
"Manila","Hyderabad","0.01088"
"Manila","Wuhan","0.0255794"
"Manila","Handan","0.0193727"
"Manila","Nagoya","0.0176488"
"Manila","Weifang","0.0198701"
"Manila","Lima","0.00276312"
"Manila","Zhoukou","0.0221256"
"Manila","Luanda","0.0040978"
"Manila","Ganzhou","0.0345191"
"Manila","Tongshan","0.0220341"
"Manila","Kuala-Lumpur","0.0198508"
"Manila","Chicago","0.00380666"
"Manila","Heze","0.0207434"
"Manila","Chongqing","0.0219404"
"Manila","Hanoi","0.0277227"
"Manila","Fuyang","0.0232453"
"Manila","Changsha","0.0281964"
"Manila","Dongguan","0.0397295"
"Manila","Jining","0.0207942"
"Manila","Jinan","0.0197194"
"Manila","Pune","0.00984553"
"Manila","Foshan","0.0384413"
"Manila","Bogota","0.00288019"
"Manila","Ahmedabad","0.00960178"
"Manila","Nanjing","0.0249582"
"Manila","Changchun","0.0150038"
"Manila","Tangshan","0.017565"
"Manila","Cangzhou","0.0184031"
"Manila","Dar-es-Salaam","0.00534041"
"Manila","Hefei","0.0249234"
"Manila","Hong-Kong","0.0428436"
"Manila","Shaoyang","0.0283071"
"Manila","Zhanjiang","0.0360328"
"Manila","Shangqiu","0.0215644"
"Manila","Nantong","0.0252154"
"Manila","Yancheng","0.023348"
"Manila","Nanning","0.0300171"
"Manila","Hengyang","0.0299216"
"Manila","Zhumadian","0.022614"
"Manila","Shenyang","0.0162124"
"Manila","Xingtai","0.0190129"
"Manila","Xi'an","0.019602"
"Manila","Santiago","0.00283085"
"Manila","Yantai","0.0193396"
"Manila","Riyadh","0.00639106"
"Manila","Luoyang","0.0204947"
"Manila","Kunming","0.0219012"
"Manila","Shangrao","0.0308583"
"Manila","Hangzhou","0.0278987"
"Manila","Bijie","0.0226997"
"Manila","Quanzhou","0.0408538"
"Manila","Miami","0.00332834"
"Manila","Wuxi","0.0258004"
"Manila","Huanggang","0.0260451"
"Manila","Maoming","0.0364622"
"Manila","Nanchong","0.0207709"
"Manila","Zunyi","0.0237299"
"Manila","Qujing","0.0226008"
"Manila","Baghdad","0.00629767"
"Manila","Xinyang","0.0235706"
"Sao-Paulo","Tokyo","0.00269085"
"Sao-Paulo","Jakarta","0.00318911"
"Sao-Paulo","Delhi","0.00345308"
"Sao-Paulo","Manila","0.00271319"
"Sao-Paulo","Seoul","0.00271841"
"Sao-Paulo","Mumbai","0.00361689"
"Sao-Paulo","Shanghai","0.00268554"
"Sao-Paulo","Mexico-City","0.00668268"
"Sao-Paulo","Guangzhou","0.00277572"
"Sao-Paulo","Cairo","0.00486869"
"Sao-Paulo","Beijing","0.00283298"
"Sao-Paulo","New-York","0.00646774"
"Sao-Paulo","Kolkata","0.0032302"
"Sao-Paulo","Moscow","0.00421711"
"Sao-Paulo","Bangkok","0.00304008"
"Sao-Paulo","Dhaka","0.00318369"
"Sao-Paulo","Buenos-Aires","0.0289931"
"Sao-Paulo","Osaka","0.00265913"
"Sao-Paulo","Lagos","0.00778621"
"Sao-Paulo","Istanbul","0.00470267"
"Sao-Paulo","Karachi","0.00373"
"Sao-Paulo","Kinshasa","0.00713078"
"Sao-Paulo","Shenzhen","0.00276437"
"Sao-Paulo","Bangalore","0.00354732"
"Sao-Paulo","Ho-Chi-Minh-City","0.00295847"
"Sao-Paulo","Tehran","0.00408155"
"Sao-Paulo","Los-Angeles","0.00501365"
"Sao-Paulo","Rio-de-Janeiro","0.122423"
"Sao-Paulo","Chengdu","0.00292937"
"Sao-Paulo","Baoding","0.00283011"
"Sao-Paulo","Chennai","0.00347887"
"Sao-Paulo","Lahore","0.00350962"
"Sao-Paulo","London","0.00523702"
"Sao-Paulo","Paris","0.00528994"
"Sao-Paulo","Tianjin","0.0028158"
"Sao-Paulo","Linyi","0.00275781"
"Sao-Paulo","Shijiazhuang","0.00283169"
"Sao-Paulo","Zhengzhou","0.00281076"
"Sao-Paulo","Nanyang","0.00281276"
"Sao-Paulo","Hyderabad","0.00348726"
"Sao-Paulo","Wuhan","0.00277407"
"Sao-Paulo","Handan","0.00281732"
"Sao-Paulo","Nagoya","0.002669"
"Sao-Paulo","Weifang","0.00276802"
"Sao-Paulo","Lima","0.014273"
"Sao-Paulo","Zhoukou","0.00278919"
"Sao-Paulo","Luanda","0.0075728"
"Sao-Paulo","Ganzhou","0.00274917"
"Sao-Paulo","Tongshan","0.0027632"
"Sao-Paulo","Kuala-Lumpur","0.00312979"
"Sao-Paulo","Chicago","0.00591202"
"Sao-Paulo","Heze","0.00279301"
"Sao-Paulo","Chongqing","0.00288712"
"Sao-Paulo","Hanoi","0.002903"
"Sao-Paulo","Fuyang","0.00276867"
"Sao-Paulo","Changsha","0.00278349"
"Sao-Paulo","Dongguan","0.00276817"
"Sao-Paulo","Jining","0.00278124"
"Sao-Paulo","Jinan","0.00278956"
"Sao-Paulo","Pune","0.00359566"
"Sao-Paulo","Foshan","0.00277829"
"Sao-Paulo","Bogota","0.0114429"
"Sao-Paulo","Ahmedabad","0.0035954"
"Sao-Paulo","Nanjing","0.00272499"
"Sao-Paulo","Changchun","0.00282763"
"Sao-Paulo","Tangshan","0.0028126"
"Sao-Paulo","Cangzhou","0.00280936"
"Sao-Paulo","Dar-es-Salaam","0.00535232"
"Sao-Paulo","Hefei","0.00274203"
"Sao-Paulo","Hong-Kong","0.00276286"
"Sao-Paulo","Shaoyang","0.00280411"
"Sao-Paulo","Zhanjiang","0.00282613"
"Sao-Paulo","Shangqiu","0.00278317"
"Sao-Paulo","Nantong","0.00269946"
"Sao-Paulo","Yancheng","0.00272131"
"Sao-Paulo","Nanning","0.00285609"
"Sao-Paulo","Hengyang","0.00278638"
"Sao-Paulo","Zhumadian","0.00279244"
"Sao-Paulo","Shenyang","0.0028033"
"Sao-Paulo","Xingtai","0.00282198"
"Sao-Paulo","Xi'an","0.0028716"
"Sao-Paulo","Santiago","0.018975"
"Sao-Paulo","Yantai","0.00275616"
"Sao-Paulo","Riyadh","0.00437076"
"Sao-Paulo","Luoyang","0.00282605"
"Sao-Paulo","Kunming","0.00294812"
"Sao-Paulo","Shangrao","0.00271238"
"Sao-Paulo","Hangzhou","0.00269385"
"Sao-Paulo","Bijie","0.0029035"
"Sao-Paulo","Quanzhou","0.00269404"
"Sao-Paulo","Miami","0.00755423"
"Sao-Paulo","Wuxi","0.00270279"
"Sao-Paulo","Huanggang","0.00276514"
"Sao-Paulo","Maoming","0.00281634"
"Sao-Paulo","Nanchong","0.00289749"
"Sao-Paulo","Zunyi","0.00287679"
"Sao-Paulo","Qujing","0.00292866"
"Sao-Paulo","Baghdad","0.00432514"
"Sao-Paulo","Xinyang","0.00278613"
"Seoul","Tokyo","0.0413606"
"Seoul","Jakarta","0.00935153"
"Seoul","Delhi","0.0105604"
"Seoul","Manila","0.0187198"
"Seoul","Sao-Paulo","0.00271841"
"Seoul","Mumbai","0.00885553"
"Seoul","Shanghai","0.0541855"
"Seoul","Mexico-City","0.00413178"
"Seoul","Guangzhou","0.0235702"
"Seoul","Cairo","0.00585685"
"Seoul","Beijing","0.0498231"
"Seoul","New-York","0.0045017"
"Seoul","Kolkata","0.0122333"
"Seoul","Moscow","0.0075112"
"Seoul","Bangkok","0.0132556"
"Seoul","Dhaka","0.0130104"
"Seoul","Buenos-Aires","0.00256661"
"Seoul","Osaka","0.057373"
"Seoul","Lagos","0.00401484"
"Seoul","Istanbul","0.00624518"
"Seoul","Karachi","0.00857866"
"Seoul","Kinshasa","0.00408022"
"Seoul","Shenzhen","0.0234858"
"Seoul","Bangalore","0.00887152"
"Seoul","Ho-Chi-Minh-City","0.0136918"
"Seoul","Tehran","0.00757283"
"Seoul","Los-Angeles","0.00519757"
"Seoul","Rio-de-Janeiro","0.00274944"
"Seoul","Chengdu","0.0218455"
"Seoul","Baoding","0.0469505"
"Seoul","Chennai","0.0092553"
"Seoul","Lahore","0.0102989"
"Seoul","London","0.00561261"
"Seoul","Paris","0.00554513"
"Seoul","Tianjin","0.0543022"
"Seoul","Linyi","0.0572879"
"Seoul","Shijiazhuang","0.0435882"
"Seoul","Zhengzhou","0.0388901"
"Seoul","Nanyang","0.0343563"
"Seoul","Hyderabad","0.00949372"
"Seoul","Wuhan","0.0344484"
"Seoul","Handan","0.0429914"
"Seoul","Nagoya","0.0509891"
"Seoul","Weifang","0.0661875"
"Seoul","Lima","0.00305666"
"Seoul","Zhoukou","0.0400638"
"Seoul","Luanda","0.00392359"
"Seoul","Ganzhou","0.0280962"
"Seoul","Tongshan","0.0497265"
"Seoul","Kuala-Lumpur","0.0107223"
"Seoul","Chicago","0.00473396"
"Seoul","Heze","0.0448248"
"Seoul","Chongqing","0.0233583"
"Seoul","Hanoi","0.0179085"
"Seoul","Fuyang","0.0420362"
"Seoul","Changsha","0.0290831"
"Seoul","Dongguan","0.0238152"
"Seoul","Jining","0.0494171"
"Seoul","Jinan","0.0530549"
"Seoul","Pune","0.00893676"
"Seoul","Foshan","0.0233697"
"Seoul","Bogota","0.00335696"
"Seoul","Ahmedabad","0.00919246"
"Seoul","Nanjing","0.0490989"
"Seoul","Changchun","0.0648611"
"Seoul","Tangshan","0.0588537"
"Seoul","Cangzhou","0.0530155"
"Seoul","Dar-es-Salaam","0.00484647"
"Seoul","Hefei","0.0438866"
"Seoul","Hong-Kong","0.0233334"
"Seoul","Shaoyang","0.0263164"
"Seoul","Zhanjiang","0.0202455"
"Seoul","Shangqiu","0.0443449"
"Seoul","Nantong","0.0565979"
"Seoul","Yancheng","0.0606605"
"Seoul","Nanning","0.0202282"
"Seoul","Hengyang","0.0270789"
"Seoul","Zhumadian","0.0375633"
"Seoul","Shenyang","0.081731"
"Seoul","Xingtai","0.0432036"
"Seoul","Xi'an","0.0291216"
"Seoul","Santiago","0.00271656"
"Seoul","Yantai","0.090043"
"Seoul","Riyadh","0.00657682"
"Seoul","Luoyang","0.0358138"
"Seoul","Kunming","0.0183009"
"Seoul","Shangrao","0.0365943"
"Seoul","Hangzhou","0.0464044"
"Seoul","Bijie","0.0210419"
"Seoul","Quanzhou","0.03002"
"Seoul","Miami","0.00400958"
"Seoul","Wuxi","0.0523175"
"Seoul","Huanggang","0.0353018"
"Seoul","Maoming","0.0208663"
"Seoul","Nanchong","0.0237003"
"Seoul","Zunyi","0.0225476"
"Seoul","Qujing","0.0191364"
"Seoul","Baghdad","0.00685774"
"Seoul","Xinyang","0.0364061"
"Mumbai","Tokyo","0.00737302"
"Mumbai","Jakarta","0.0106074"
"Mumbai","Delhi","0.0415348"
"Mumbai","Manila","0.00965469"
"Mumbai","Sao-Paulo","0.00361689"
"Mumbai","Seoul","0.00885553"
"Mumbai","Shanghai","0.00983994"
"Mumbai","Mexico-City","0.00318566"
"Mumbai","Guangzhou","0.0117638"
"Mumbai","Cairo","0.0113425"
"Mumbai","Beijing","0.0104286"
"Mumbai","New-York","0.0039727"
"Mumbai","Kolkata","0.0293278"
"Mumbai","Moscow","0.0098465"
"Mumbai","Bangkok","0.0163753"
"Mumbai","Dhaka","0.0258502"
"Mumbai","Buenos-Aires","0.00333663"
"Mumbai","Osaka","0.00781995"
"Mumbai","Lagos","0.00651832"
"Mumbai","Istanbul","0.0102859"
"Mumbai","Karachi","0.0536043"
"Mumbai","Kinshasa","0.00728626"
"Mumbai","Shenzhen","0.011536"
"Mumbai","Bangalore","0.0559016"
"Mumbai","Ho-Chi-Minh-City","0.0132144"
"Mumbai","Tehran","0.0175459"
"Mumbai","Los-Angeles","0.00356351"
"Mumbai","Rio-de-Janeiro","0.00371303"
"Mumbai","Chengdu","0.0145565"
"Mumbai","Baoding","0.0106691"
"Mumbai","Chennai","0.0461482"
"Mumbai","Lahore","0.0346071"
"Mumbai","London","0.00690448"
"Mumbai","Paris","0.00708282"
"Mumbai","Tianjin","0.0103347"
"Mumbai","Linyi","0.0103279"
"Mumbai","Shijiazhuang","0.0109179"
"Mumbai","Zhengzhou","0.0113233"
"Mumbai","Nanyang","0.011702"
"Mumbai","Hyderabad","0.074505"
"Mumbai","Wuhan","0.0113809"
"Mumbai","Handan","0.0110211"
"Mumbai","Nagoya","0.00766035"
"Mumbai","Weifang","0.0101198"
"Mumbai","Lima","0.00298427"
"Mumbai","Zhoukou","0.0111638"
"Mumbai","Luanda","0.00686455"
"Mumbai","Ganzhou","0.0113166"
"Mumbai","Tongshan","0.0105883"
"Mumbai","Kuala-Lumpur","0.0137069"
"Mumbai","Chicago","0.00384531"
"Mumbai","Heze","0.0109053"
"Mumbai","Chongqing","0.0137517"
"Mumbai","Hanoi","0.0143099"
"Mumbai","Fuyang","0.0109372"
"Mumbai","Changsha","0.011798"
"Mumbai","Dongguan","0.0116259"
"Mumbai","Jining","0.0106624"
"Mumbai","Jinan","0.0105158"
"Mumbai","Pune","0.293982"
"Mumbai","Foshan","0.0118064"
"Mumbai","Bogota","0.00320715"
"Mumbai","Ahmedabad","0.101881"
"Mumbai","Nanjing","0.0103418"
"Mumbai","Changchun","0.00891382"
"Mumbai","Tangshan","0.0101376"
"Mumbai","Cangzhou","0.0104505"
"Mumbai","Dar-es-Salaam","0.0105897"
"Mumbai","Hefei","0.0106539"
"Mumbai","Hong-Kong","0.0114975"
"Mumbai","Shaoyang","0.0122486"
"Mumbai","Zhanjiang","0.0126079"
"Mumbai","Shangqiu","0.0109019"
"Mumbai","Nantong","0.00993423"
"Mumbai","Yancheng","0.0100435"
"Mumbai","Nanning","0.0133516"
"Mumbai","Hengyang","0.0119352"
"Mumbai","Zhumadian","0.0113396"
"Mumbai","Shenyang","0.00922792"
"Mumbai","Xingtai","0.0109934"
"Mumbai","Xi'an","0.0125632"
"Mumbai","Santiago","0.00310161"
"Mumbai","Yantai","0.00972105"
"Mumbai","Riyadh","0.0177565"
"Mumbai","Luoyang","0.0116188"
"Mumbai","Kunming","0.0156846"
"Mumbai","Shangrao","0.0105767"
"Mumbai","Hangzhou","0.0100985"
"Mumbai","Bijie","0.0143866"
"Mumbai","Quanzhou","0.0104478"
"Mumbai","Miami","0.00349867"
"Mumbai","Wuxi","0.0100554"
"Mumbai","Huanggang","0.0112428"
"Mumbai","Maoming","0.0124496"
"Mumbai","Nanchong","0.0137916"
"Mumbai","Zunyi","0.0137262"
"Mumbai","Qujing","0.0151371"
"Mumbai","Baghdad","0.0152137"
"Mumbai","Xinyang","0.0113711"
"Shanghai","Tokyo","0.0274933"
"Shanghai","Jakarta","0.0111416"
"Shanghai","Delhi","0.0116397"
"Shanghai","Manila","0.026416"
"Shanghai","Sao-Paulo","0.00268554"
"Shanghai","Seoul","0.0541855"
"Shanghai","Mumbai","0.00983994"
"Shanghai","Mexico-City","0.00385696"
"Shanghai","Guangzhou","0.039786"
"Shanghai","Cairo","0.00594716"
"Shanghai","Beijing","0.044504"
"Shanghai","New-York","0.00419494"
