"ID","t","DS","Group"
"Ind-88","start","S","G9"
"Ind-89","start","S","G9"
"Ind-90","start","S","G9"
"Ind-91","start","I","G10"
"Ind-92","start","I","G10"
"Ind-93","start","S","G10"
"Ind-94","start","S","G10"
"Ind-95","start","S","G10"
"Ind-96","start","S","G10"
"Ind-97","start","S","G10"
"Ind-98","start","S","G10"
"Ind-99","start","S","G10"
"Ind-100","start","S","G10"
"Ind-101","start","I","G11"
"Ind-102","start","I","G11"
"Ind-103","start","S","G11"
"Ind-104","start","S","G11"
"Ind-105","start","S","G11"
"Ind-106","start","S","G11"
"Ind-107","start","S","G11"
"Ind-108","start","S","G11"
"Ind-109","start","S","G11"
"Ind-110","start","S","G11"
"Ind-111","start","I","G12"
"Ind-112","start","I","G12"
"Ind-113","start","S","G12"
"Ind-114","start","S","G12"
"Ind-115","start","S","G12"
"Ind-116","start","S","G12"
"Ind-117","start","S","G12"
"Ind-118","start","S","G12"
"Ind-119","start","S","G12"
"Ind-120","start","S","G12"
"Ind-121","start","I","G13"
"Ind-122","start","I","G13"
"Ind-123","start","S","G13"
"Ind-124","start","S","G13"
"Ind-125","start","S","G13"
"Ind-126","start","S","G13"
"Ind-127","start","S","G13"
"Ind-128","start","S","G13"
"Ind-129","start","S","G13"
"Ind-130","start","S","G13"
"Ind-131","start","I","G14"
"Ind-132","start","I","G14"
"Ind-133","start","S","G14"
"Ind-134","start","S","G14"
"Ind-135","start","S","G14"
"Ind-136","start","S","G14"
"Ind-137","start","S","G14"
"Ind-138","start","S","G14"
"Ind-139","start","S","G14"
"Ind-140","start","S","G14"
"Ind-141","start","I","G15"
"Ind-142","start","I","G15"
"Ind-143","start","S","G15"
"Ind-144","start","S","G15"
"Ind-145","start","S","G15"
"Ind-146","start","S","G15"
"Ind-147","start","S","G15"
"Ind-148","start","S","G15"
"Ind-149","start","S","G15"
"Ind-150","start","S","G15"
"Ind-151","start","I","G16"
"Ind-152","start","I","G16"
"Ind-153","start","S","G16"
"Ind-154","start","S","G16"
"Ind-155","start","S","G16"
"Ind-156","start","S","G16"
"Ind-157","start","S","G16"
"Ind-158","start","S","G16"
"Ind-159","start","S","G16"
"Ind-160","start","S","G16"
"Ind-161","start","I","G17"
"Ind-162","start","I","G17"
"Ind-163","start","S","G17"
"Ind-164","start","S","G17"
"Ind-165","start","S","G17"
"Ind-166","start","S","G17"
"Ind-167","start","S","G17"
"Ind-168","start","S","G17"
"Ind-169","start","S","G17"
"Ind-170","start","S","G17"
"Ind-171","start","I","G18"
"Ind-172","start","I","G18"
"Ind-173","start","S","G18"
"Ind-174","start","S","G18"
"Ind-175","start","S","G18"
"Ind-176","start","S","G18"
"Ind-177","start","S","G18"
"Ind-178","start","S","G18"
"Ind-179","start","S","G18"
"Ind-180","start","S","G18"
"Ind-181","start","I","G19"
"Ind-182","start","I","G19"
"Ind-183","start","S","G19"
"Ind-184","start","S","G19"
"Ind-185","start","S","G19"
"Ind-186","start","S","G19"
"Ind-187","start","S","G19"
"Ind-188","start","S","G19"
"Ind-189","start","S","G19"
"Ind-190","start","S","G19"
"Ind-191","start","I","G20"
"Ind-192","start","I","G20"
"Ind-193","start","S","G20"
"Ind-194","start","S","G20"
"Ind-195","start","S","G20"
"Ind-196","start","S","G20"
"Ind-197","start","S","G20"
"Ind-198","start","S","G20"
"Ind-199","start","S","G20"
"Ind-200","start","S","G20"
"Ind-201","start","I","G21"
"Ind-202","start","I","G21"
"Ind-203","start","S","G21"
"Ind-204","start","S","G21"
"Ind-205","start","S","G21"
"Ind-206","start","S","G21"
"Ind-207","start","S","G21"
"Ind-208","start","S","G21"
"Ind-209","start","S","G21"
"Ind-210","start","S","G21"
"Ind-211","start","I","G22"
"Ind-212","start","I","G22"
"Ind-213","start","S","G22"
"Ind-214","start","S","G22"
"Ind-215","start","S","G22"
"Ind-216","start","S","G22"
"Ind-217","start","S","G22"
"Ind-218","start","S","G22"
"Ind-219","start","S","G22"
"Ind-220","start","S","G22"
"Ind-221","start","I","G23"
"Ind-222","start","I","G23"
"Ind-223","start","S","G23"
"Ind-224","start","S","G23"
"Ind-225","start","S","G23"
"Ind-226","start","S","G23"
"Ind-227","start","S","G23"
"Ind-228","start","S","G23"
"Ind-229","start","S","G23"
"Ind-230","start","S","G23"
"Ind-231","start","I","G24"
"Ind-232","start","I","G24"
"Ind-233","start","S","G24"
"Ind-234","start","S","G24"
"Ind-235","start","S","G24"
"Ind-236","start","S","G24"
"Ind-237","start","S","G24"
"Ind-238","start","S","G24"
"Ind-239","start","S","G24"
"Ind-240","start","S","G24"
