"l","t",Value
"Farm-7","68","step({I,Farm-122|Farm-66|Farm-161|Farm-168|Farm-84|Farm-84|Farm-188|Farm-145|Farm-7|Farm-86})"
"Farm-7","76","step({I,Farm-12|Farm-17|Farm-104|Farm-152|Farm-7|Farm-92|Farm-165|Farm-134|Farm-110|Farm-118})"
"Farm-7","77","step({I,Farm-116|Farm-85|Farm-141|Farm-72|Farm-195|Farm-175|Farm-32|Farm-137|Farm-7|Farm-178})"
"Farm-7","90","step({I,Farm-84|Farm-7|Farm-13|Farm-170|Farm-140|Farm-47|Farm-24|Farm-9|Farm-96|Farm-118})"
"Farm-7","92","step({I,Farm-174|Farm-159|Farm-7|Farm-140|Farm-10|Farm-200|Farm-157|Farm-47|Farm-99|Farm-149})"
"Farm-7","97","step({I,Farm-181|Farm-131|Farm-129|Farm-7|Farm-183|Farm-6|Farm-38|Farm-180|Farm-26|Farm-80})"
"Farm-8","4","step({I,Farm-194|Farm-131|Farm-35|Farm-72|Farm-151|Farm-122|Farm-66|Farm-8|Farm-127|Farm-192})"
"Farm-8","13","step({I,Farm-197|Farm-53|Farm-108|Farm-90|Farm-20|Farm-71|Farm-94|Farm-169|Farm-181|Farm-8})"
"Farm-8","56","step({I,Farm-131|Farm-165|Farm-81|Farm-8|Farm-197|Farm-90|Farm-188|Farm-135|Farm-54|Farm-113})"
"Farm-8","60","step({I,Farm-194|Farm-20|Farm-8|Farm-97|Farm-92|Farm-48|Farm-12|Farm-25|Farm-172|Farm-80})"
"Farm-8","71","step({I,Farm-195|Farm-61|Farm-16|Farm-146|Farm-196|Farm-157|Farm-50|Farm-8|Farm-82|Farm-176})"
"Farm-9","51","step({I,Farm-66|Farm-81|Farm-109|Farm-125|Farm-76|Farm-109|Farm-25|Farm-137|Farm-58|Farm-9})"
"Farm-9","90","step({I,Farm-84|Farm-7|Farm-13|Farm-170|Farm-140|Farm-47|Farm-24|Farm-9|Farm-96|Farm-118})"
"Farm-9","94","step({I,Farm-51|Farm-91|Farm-58|Farm-185|Farm-91|Farm-176|Farm-9|Farm-108|Farm-91|Farm-66})"
"Farm-10","23","step({I,Farm-150|Farm-19|Farm-44|Farm-150|Farm-147|Farm-10|Farm-42|Farm-58|Farm-136|Farm-13})"
"Farm-10","38","step({I,Farm-99|Farm-197|Farm-49|Farm-75|Farm-10|Farm-63|Farm-167|Farm-162|Farm-129|Farm-74})"
"Farm-10","80","step({I,Farm-10|Farm-38|Farm-105|Farm-76|Farm-49|Farm-137|Farm-134|Farm-193|Farm-176|Farm-200})"
"Farm-10","81","step({I,Farm-10|Farm-66|Farm-100|Farm-35|Farm-18|Farm-91|Farm-187|Farm-153|Farm-63|Farm-178})"
"Farm-10","92","step({I,Farm-174|Farm-159|Farm-7|Farm-140|Farm-10|Farm-200|Farm-157|Farm-47|Farm-99|Farm-149})"
"Farm-11","14","step({I,Farm-34|Farm-156|Farm-173|Farm-83|Farm-28|Farm-7|Farm-197|Farm-75|Farm-85|Farm-11})"
"Farm-11","16","step({I,Farm-175|Farm-189|Farm-122|Farm-120|Farm-157|Farm-101|Farm-11|Farm-140|Farm-199|Farm-54})"
"Farm-11","58","step({I,Farm-117|Farm-188|Farm-189|Farm-11|Farm-120|Farm-179|Farm-157|Farm-43|Farm-153|Farm-38})"
"Farm-12","start","step({I,Farm-169|Farm-172|Farm-170|Farm-125|Farm-77|Farm-60|Farm-12|Farm-55|Farm-96|Farm-163})"
"Farm-12","6","step({I,Farm-133|Farm-3|Farm-125|Farm-135|Farm-195|Farm-176|Farm-102|Farm-12|Farm-91|Farm-4})"
"Farm-12","18","step({I,Farm-18|Farm-12|Farm-98|Farm-177|Farm-196|Farm-124|Farm-109|Farm-171|Farm-149|Farm-96})"
"Farm-12","60","step({I,Farm-194|Farm-20|Farm-8|Farm-97|Farm-92|Farm-48|Farm-12|Farm-25|Farm-172|Farm-80})"
"Farm-12","64","step({I,Farm-55|Farm-2|Farm-5|Farm-29|Farm-103|Farm-45|Farm-74|Farm-12|Farm-183|Farm-177})"
"Farm-12","76","step({I,Farm-12|Farm-17|Farm-104|Farm-152|Farm-7|Farm-92|Farm-165|Farm-134|Farm-110|Farm-118})"
"Farm-13","23","step({I,Farm-150|Farm-19|Farm-44|Farm-150|Farm-147|Farm-10|Farm-42|Farm-58|Farm-136|Farm-13})"
"Farm-13","74","step({I,Farm-47|Farm-17|Farm-65|Farm-123|Farm-74|Farm-146|Farm-136|Farm-29|Farm-34|Farm-13})"
"Farm-13","90","step({I,Farm-84|Farm-7|Farm-13|Farm-170|Farm-140|Farm-47|Farm-24|Farm-9|Farm-96|Farm-118})"
"Farm-13","99","step({I,Farm-51|Farm-32|Farm-158|Farm-195|Farm-13|Farm-21|Farm-64|Farm-106|Farm-141|Farm-192})"
"Farm-14","30","step({I,Farm-166|Farm-102|Farm-18|Farm-133|Farm-42|Farm-170|Farm-137|Farm-36|Farm-14|Farm-2})"
"Farm-14","95","step({I,Farm-54|Farm-40|Farm-99|Farm-70|Farm-67|Farm-14|Farm-3|Farm-183|Farm-83|Farm-136})"
"Farm-15","39","step({I,Farm-161|Farm-15|Farm-137|Farm-77|Farm-127|Farm-186|Farm-171|Farm-100|Farm-86|Farm-165})"
"Farm-15","44","step({I,Farm-140|Farm-76|Farm-21|Farm-193|Farm-15|Farm-4|Farm-196|Farm-30|Farm-52|Farm-44})"
"Farm-15","65","step({I,Farm-67|Farm-143|Farm-86|Farm-61|Farm-15|Farm-85|Farm-78|Farm-33|Farm-71|Farm-20})"
"Farm-15","88","step({I,Farm-15|Farm-57|Farm-181|Farm-67|Farm-195|Farm-89|Farm-74|Farm-158|Farm-94|Farm-16})"
"Farm-15","93","step({I,Farm-46|Farm-27|Farm-187|Farm-135|Farm-176|Farm-47|Farm-26|Farm-71|Farm-51|Farm-15})"
"Farm-16","71","step({I,Farm-195|Farm-61|Farm-16|Farm-146|Farm-196|Farm-157|Farm-50|Farm-8|Farm-82|Farm-176})"
"Farm-16","88","step({I,Farm-15|Farm-57|Farm-181|Farm-67|Farm-195|Farm-89|Farm-74|Farm-158|Farm-94|Farm-16})"
"Farm-17","8","step({I,Farm-185|Farm-17|Farm-56|Farm-2|Farm-169|Farm-130|Farm-169|Farm-53|Farm-80|Farm-111})"
"Farm-17","33","step({I,Farm-19|Farm-183|Farm-17|Farm-161|Farm-176|Farm-19|Farm-86|Farm-95|Farm-117|Farm-144})"
"Farm-17","57","step({I,Farm-23|Farm-55|Farm-17|Farm-154|Farm-5|Farm-28|Farm-53|Farm-175|Farm-36|Farm-87})"
"Farm-17","74","step({I,Farm-47|Farm-17|Farm-65|Farm-123|Farm-74|Farm-146|Farm-136|Farm-29|Farm-34|Farm-13})"
"Farm-17","76","step({I,Farm-12|Farm-17|Farm-104|Farm-152|Farm-7|Farm-92|Farm-165|Farm-134|Farm-110|Farm-118})"
"Farm-18","18","step({I,Farm-18|Farm-12|Farm-98|Farm-177|Farm-196|Farm-124|Farm-109|Farm-171|Farm-149|Farm-96})"
"Farm-18","30","step({I,Farm-166|Farm-102|Farm-18|Farm-133|Farm-42|Farm-170|Farm-137|Farm-36|Farm-14|Farm-2})"
"Farm-18","35","step({I,Farm-32|Farm-199|Farm-18|Farm-19|Farm-127|Farm-190|Farm-188|Farm-90|Farm-146|Farm-149})"
"Farm-18","37","step({I,Farm-18|Farm-48|Farm-168|Farm-105|Farm-103|Farm-130|Farm-109|Farm-7|Farm-117|Farm-155})"
"Farm-18","62","step({I,Farm-143|Farm-113|Farm-80|Farm-107|Farm-18|Farm-134|Farm-6|Farm-178|Farm-137|Farm-179})"
"Farm-18","75","step({I,Farm-70|Farm-18|Farm-121|Farm-143|Farm-32|Farm-69|Farm-146|Farm-133|Farm-171|Farm-111})"
"Farm-18","81","step({I,Farm-10|Farm-66|Farm-100|Farm-35|Farm-18|Farm-91|Farm-187|Farm-153|Farm-63|Farm-178})"
"Farm-18","83","step({I,Farm-18|Farm-78|Farm-146|Farm-116|Farm-62|Farm-198|Farm-115|Farm-189|Farm-112|Farm-113})"
"Farm-19","12","step({I,Farm-176|Farm-21|Farm-19|Farm-71|Farm-111|Farm-7|Farm-194|Farm-65|Farm-45|Farm-29})"
"Farm-19","23","step({I,Farm-150|Farm-19|Farm-44|Farm-150|Farm-147|Farm-10|Farm-42|Farm-58|Farm-136|Farm-13})"
"Farm-19","33","step({I,Farm-19|Farm-183|Farm-17|Farm-161|Farm-176|Farm-19|Farm-86|Farm-95|Farm-117|Farm-144})"
"Farm-19","35","step({I,Farm-32|Farm-199|Farm-18|Farm-19|Farm-127|Farm-190|Farm-188|Farm-90|Farm-146|Farm-149})"
"Farm-19","36","step({I,Farm-24|Farm-89|Farm-79|Farm-107|Farm-170|Farm-108|Farm-137|Farm-122|Farm-20|Farm-19})"
"Farm-19","59","step({I,Farm-2|Farm-19|Farm-124|Farm-77|Farm-20|Farm-197|Farm-180|Farm-55|Farm-95|Farm-96})"
"Farm-19","96","step({I,Farm-41|Farm-186|Farm-25|Farm-97|Farm-19|Farm-46|Farm-138|Farm-106|Farm-111|Farm-167})"
"Farm-20","13","step({I,Farm-197|Farm-53|Farm-108|Farm-90|Farm-20|Farm-71|Farm-94|Farm-169|Farm-181|Farm-8})"
"Farm-20","29","step({I,Farm-76|Farm-20|Farm-52|Farm-119|Farm-96|Farm-98|Farm-92|Farm-105|Farm-89|Farm-171})"
"Farm-20","34","step({I,Farm-147|Farm-154|Farm-2|Farm-62|Farm-47|Farm-101|Farm-191|Farm-112|Farm-20|Farm-125})"
"Farm-20","36","step({I,Farm-24|Farm-89|Farm-79|Farm-107|Farm-170|Farm-108|Farm-137|Farm-122|Farm-20|Farm-19})"
"Farm-20","48","step({I,Farm-73|Farm-101|Farm-31|Farm-86|Farm-182|Farm-2|Farm-194|Farm-139|Farm-20|Farm-58})"
"Farm-20","59","step({I,Farm-2|Farm-19|Farm-124|Farm-77|Farm-20|Farm-197|Farm-180|Farm-55|Farm-95|Farm-96})"
"Farm-20","60","step({I,Farm-194|Farm-20|Farm-8|Farm-97|Farm-92|Farm-48|Farm-12|Farm-25|Farm-172|Farm-80})"
"Farm-20","65","step({I,Farm-67|Farm-143|Farm-86|Farm-61|Farm-15|Farm-85|Farm-78|Farm-33|Farm-71|Farm-20})"
"Farm-20","67","step({I,Farm-20|Farm-171|Farm-80|Farm-47|Farm-118|Farm-150|Farm-122|Farm-116|Farm-35|Farm-138})"
"Farm-21","12","step({I,Farm-176|Farm-21|Farm-19|Farm-71|Farm-111|Farm-7|Farm-194|Farm-65|Farm-45|Farm-29})"
"Farm-21","44","step({I,Farm-140|Farm-76|Farm-21|Farm-193|Farm-15|Farm-4|Farm-196|Farm-30|Farm-52|Farm-44})"
"Farm-21","84","step({I,Farm-21|Farm-123|Farm-147|Farm-49|Farm-193|Farm-149|Farm-48|Farm-129|Farm-68|Farm-146})"
"Farm-21","99","step({I,Farm-51|Farm-32|Farm-158|Farm-195|Farm-13|Farm-21|Farm-64|Farm-106|Farm-141|Farm-192})"
"Farm-22","2","step({I,Farm-161|Farm-105|Farm-136|Farm-145|Farm-117|Farm-108|Farm-152|Farm-22|Farm-95|Farm-38})"
"Farm-22","52","step({I,Farm-22|Farm-64|Farm-50|Farm-113|Farm-182|Farm-117|Farm-120|Farm-48|Farm-117|Farm-30})"
"Farm-22","78","step({I,Farm-103|Farm-26|Farm-125|Farm-48|Farm-127|Farm-139|Farm-22|Farm-96|Farm-118|Farm-51})"
"Farm-23","41","step({I,Farm-25|Farm-49|Farm-46|Farm-98|Farm-179|Farm-72|Farm-78|Farm-184|Farm-23|Farm-127})"
"Farm-23","57","step({I,Farm-23|Farm-55|Farm-17|Farm-154|Farm-5|Farm-28|Farm-53|Farm-175|Farm-36|Farm-87})"
"Farm-24","10","step({I,Farm-137|Farm-90|Farm-196|Farm-24|Farm-154|Farm-83|Farm-136|Farm-50|Farm-63|Farm-194})"
"Farm-24","36","step({I,Farm-24|Farm-89|Farm-79|Farm-107|Farm-170|Farm-108|Farm-137|Farm-122|Farm-20|Farm-19})"
"Farm-24","87","step({I,Farm-133|Farm-151|Farm-121|Farm-100|Farm-24|Farm-157|Farm-99|Farm-171|Farm-27|Farm-194})"
"Farm-24","90","step({I,Farm-84|Farm-7|Farm-13|Farm-170|Farm-140|Farm-47|Farm-24|Farm-9|Farm-96|Farm-118})"
"Farm-24","91","step({I,Farm-185|Farm-74|Farm-187|Farm-110|Farm-115|Farm-36|Farm-24|Farm-49|Farm-25|Farm-45})"
"Farm-25","22","step({I,Farm-135|Farm-56|Farm-35|Farm-141|Farm-93|Farm-169|Farm-41|Farm-33|Farm-25|Farm-145})"
"Farm-25","26","step({I,Farm-157|Farm-198|Farm-151|Farm-1|Farm-54|Farm-83|Farm-86|Farm-60|Farm-81|Farm-25})"
"Farm-25","41","step({I,Farm-25|Farm-49|Farm-46|Farm-98|Farm-179|Farm-72|Farm-78|Farm-184|Farm-23|Farm-127})"
"Farm-25","51","step({I,Farm-66|Farm-81|Farm-109|Farm-125|Farm-76|Farm-109|Farm-25|Farm-137|Farm-58|Farm-9})"
"Farm-25","60","step({I,Farm-194|Farm-20|Farm-8|Farm-97|Farm-92|Farm-48|Farm-12|Farm-25|Farm-172|Farm-80})"
"Farm-25","91","step({I,Farm-185|Farm-74|Farm-187|Farm-110|Farm-115|Farm-36|Farm-24|Farm-49|Farm-25|Farm-45})"
"Farm-25","96","step({I,Farm-41|Farm-186|Farm-25|Farm-97|Farm-19|Farm-46|Farm-138|Farm-106|Farm-111|Farm-167})"
"Farm-26","32","step({I,Farm-157|Farm-112|Farm-32|Farm-29|Farm-130|Farm-108|Farm-66|Farm-30|Farm-32|Farm-26})"
"Farm-26","78","step({I,Farm-103|Farm-26|Farm-125|Farm-48|Farm-127|Farm-139|Farm-22|Farm-96|Farm-118|Farm-51})"
"Farm-26","93","step({I,Farm-46|Farm-27|Farm-187|Farm-135|Farm-176|Farm-47|Farm-26|Farm-71|Farm-51|Farm-15})"
"Farm-26","97","step({I,Farm-181|Farm-131|Farm-129|Farm-7|Farm-183|Farm-6|Farm-38|Farm-180|Farm-26|Farm-80})"
"Farm-27","31","step({I,Farm-27|Farm-156|Farm-186|Farm-144|Farm-99|Farm-94|Farm-177|Farm-98|Farm-83|Farm-35})"
"Farm-27","43","step({I,Farm-110|Farm-104|Farm-70|Farm-5|Farm-30|Farm-27|Farm-142|Farm-142|Farm-123|Farm-135})"
"Farm-27","66","step({I,Farm-134|Farm-39|Farm-184|Farm-116|Farm-92|Farm-129|Farm-51|Farm-111|Farm-27|Farm-41})"
"Farm-27","87","step({I,Farm-133|Farm-151|Farm-121|Farm-100|Farm-24|Farm-157|Farm-99|Farm-171|Farm-27|Farm-194})"
"Farm-27","93","step({I,Farm-46|Farm-27|Farm-187|Farm-135|Farm-176|Farm-47|Farm-26|Farm-71|Farm-51|Farm-15})"
"Farm-28","3","step({I,Farm-44|Farm-28|Farm-65|Farm-30|Farm-45|Farm-78|Farm-181|Farm-90|Farm-123|Farm-181})"
"Farm-28","14","step({I,Farm-34|Farm-156|Farm-173|Farm-83|Farm-28|Farm-7|Farm-197|Farm-75|Farm-85|Farm-11})"
"Farm-28","19","step({I,Farm-122|Farm-143|Farm-94|Farm-92|Farm-182|Farm-28|Farm-46|Farm-177|Farm-181|Farm-130})"
"Farm-28","57","step({I,Farm-23|Farm-55|Farm-17|Farm-154|Farm-5|Farm-28|Farm-53|Farm-175|Farm-36|Farm-87})"
"Farm-28","89","step({I,Farm-159|Farm-103|Farm-2|Farm-28|Farm-143|Farm-119|Farm-141|Farm-73|Farm-126|Farm-87})"
"Farm-29","1","step({I,Farm-1|Farm-96|Farm-79|Farm-168|Farm-68|Farm-130|Farm-74|Farm-192|Farm-29|Farm-175})"
"Farm-29","12","step({I,Farm-176|Farm-21|Farm-19|Farm-71|Farm-111|Farm-7|Farm-194|Farm-65|Farm-45|Farm-29})"
"Farm-29","32","step({I,Farm-157|Farm-112|Farm-32|Farm-29|Farm-130|Farm-108|Farm-66|Farm-30|Farm-32|Farm-26})"
"Farm-29","64","step({I,Farm-55|Farm-2|Farm-5|Farm-29|Farm-103|Farm-45|Farm-74|Farm-12|Farm-183|Farm-177})"
"Farm-29","74","step({I,Farm-47|Farm-17|Farm-65|Farm-123|Farm-74|Farm-146|Farm-136|Farm-29|Farm-34|Farm-13})"
"Farm-30","3","step({I,Farm-44|Farm-28|Farm-65|Farm-30|Farm-45|Farm-78|Farm-181|Farm-90|Farm-123|Farm-181})"
"Farm-30","9","step({I,Farm-74|Farm-30|Farm-114|Farm-141|Farm-58|Farm-87|Farm-152|Farm-80|Farm-180|Farm-128})"
"Farm-30","32","step({I,Farm-157|Farm-112|Farm-32|Farm-29|Farm-130|Farm-108|Farm-66|Farm-30|Farm-32|Farm-26})"
"Farm-30","43","step({I,Farm-110|Farm-104|Farm-70|Farm-5|Farm-30|Farm-27|Farm-142|Farm-142|Farm-123|Farm-135})"
"Farm-30","44","step({I,Farm-140|Farm-76|Farm-21|Farm-193|Farm-15|Farm-4|Farm-196|Farm-30|Farm-52|Farm-44})"
"Farm-30","47","step({I,Farm-136|Farm-128|Farm-110|Farm-55|Farm-30|Farm-172|Farm-128|Farm-60|Farm-93|Farm-5})"
"Farm-30","52","step({I,Farm-22|Farm-64|Farm-50|Farm-113|Farm-182|Farm-117|Farm-120|Farm-48|Farm-117|Farm-30})"
"Farm-31","21","step({I,Farm-63|Farm-192|Farm-95|Farm-143|Farm-31|Farm-147|Farm-130|Farm-43|Farm-38|Farm-162})"
"Farm-31","48","step({I,Farm-73|Farm-101|Farm-31|Farm-86|Farm-182|Farm-2|Farm-194|Farm-139|Farm-20|Farm-58})"
"Farm-32","32","step({I,Farm-157|Farm-112|Farm-32|Farm-29|Farm-130|Farm-108|Farm-66|Farm-30|Farm-32|Farm-26})"
"Farm-32","35","step({I,Farm-32|Farm-199|Farm-18|Farm-19|Farm-127|Farm-190|Farm-188|Farm-90|Farm-146|Farm-149})"
"Farm-32","75","step({I,Farm-70|Farm-18|Farm-121|Farm-143|Farm-32|Farm-69|Farm-146|Farm-133|Farm-171|Farm-111})"
"Farm-32","77","step({I,Farm-116|Farm-85|Farm-141|Farm-72|Farm-195|Farm-175|Farm-32|Farm-137|Farm-7|Farm-178})"
"Farm-32","99","step({I,Farm-51|Farm-32|Farm-158|Farm-195|Farm-13|Farm-21|Farm-64|Farm-106|Farm-141|Farm-192})"
"Farm-33","22","step({I,Farm-135|Farm-56|Farm-35|Farm-141|Farm-93|Farm-169|Farm-41|Farm-33|Farm-25|Farm-145})"
"Farm-33","65","step({I,Farm-67|Farm-143|Farm-86|Farm-61|Farm-15|Farm-85|Farm-78|Farm-33|Farm-71|Farm-20})"
"Farm-33","82","step({I,Farm-93|Farm-53|Farm-116|Farm-39|Farm-149|Farm-188|Farm-132|Farm-145|Farm-33|Farm-150})"
"Farm-33","85","step({I,Farm-152|Farm-51|Farm-187|Farm-199|Farm-33|Farm-103|Farm-173|Farm-70|Farm-49|Farm-147})"
"Farm-34","14","step({I,Farm-34|Farm-156|Farm-173|Farm-83|Farm-28|Farm-7|Farm-197|Farm-75|Farm-85|Farm-11})"
"Farm-34","46","step({I,Farm-194|Farm-34|Farm-181|Farm-66|Farm-178|Farm-103|Farm-103|Farm-78|Farm-107|Farm-189})"
"Farm-34","74","step({I,Farm-47|Farm-17|Farm-65|Farm-123|Farm-74|Farm-146|Farm-136|Farm-29|Farm-34|Farm-13})"
"Farm-35","4","step({I,Farm-194|Farm-131|Farm-35|Farm-72|Farm-151|Farm-122|Farm-66|Farm-8|Farm-127|Farm-192})"
"Farm-35","15","step({I,Farm-4|Farm-47|Farm-153|Farm-189|Farm-150|Farm-68|Farm-98|Farm-68|Farm-36|Farm-35})"
"Farm-35","22","step({I,Farm-135|Farm-56|Farm-35|Farm-141|Farm-93|Farm-169|Farm-41|Farm-33|Farm-25|Farm-145})"
"Farm-35","31","step({I,Farm-27|Farm-156|Farm-186|Farm-144|Farm-99|Farm-94|Farm-177|Farm-98|Farm-83|Farm-35})"
"Farm-35","67","step({I,Farm-20|Farm-171|Farm-80|Farm-47|Farm-118|Farm-150|Farm-122|Farm-116|Farm-35|Farm-138})"
"Farm-35","81","step({I,Farm-10|Farm-66|Farm-100|Farm-35|Farm-18|Farm-91|Farm-187|Farm-153|Farm-63|Farm-178})"
"Farm-36","15","step({I,Farm-4|Farm-47|Farm-153|Farm-189|Farm-150|Farm-68|Farm-98|Farm-68|Farm-36|Farm-35})"
"Farm-36","30","step({I,Farm-166|Farm-102|Farm-18|Farm-133|Farm-42|Farm-170|Farm-137|Farm-36|Farm-14|Farm-2})"
"Farm-36","57","step({I,Farm-23|Farm-55|Farm-17|Farm-154|Farm-5|Farm-28|Farm-53|Farm-175|Farm-36|Farm-87})"
"Farm-36","91","step({I,Farm-185|Farm-74|Farm-187|Farm-110|Farm-115|Farm-36|Farm-24|Farm-49|Farm-25|Farm-45})"
"Farm-37","24","step({I,Farm-2|Farm-167|Farm-197|Farm-141|Farm-37|Farm-103|Farm-117|Farm-158|Farm-122|Farm-44})"
"Farm-37","53","step({I,Farm-126|Farm-73|Farm-183|Farm-176|Farm-87|Farm-104|Farm-95|Farm-37|Farm-87|Farm-38})"
"Farm-38","2","step({I,Farm-161|Farm-105|Farm-136|Farm-145|Farm-117|Farm-108|Farm-152|Farm-22|Farm-95|Farm-38})"
"Farm-38","21","step({I,Farm-63|Farm-192|Farm-95|Farm-143|Farm-31|Farm-147|Farm-130|Farm-43|Farm-38|Farm-162})"
"Farm-38","53","step({I,Farm-126|Farm-73|Farm-183|Farm-176|Farm-87|Farm-104|Farm-95|Farm-37|Farm-87|Farm-38})"
"Farm-38","58","step({I,Farm-117|Farm-188|Farm-189|Farm-11|Farm-120|Farm-179|Farm-157|Farm-43|Farm-153|Farm-38})"
"Farm-38","80","step({I,Farm-10|Farm-38|Farm-105|Farm-76|Farm-49|Farm-137|Farm-134|Farm-193|Farm-176|Farm-200})"
"Farm-38","97","step({I,Farm-181|Farm-131|Farm-129|Farm-7|Farm-183|Farm-6|Farm-38|Farm-180|Farm-26|Farm-80})"
"Farm-39","25","step({I,Farm-176|Farm-99|Farm-144|Farm-98|Farm-142|Farm-100|Farm-169|Farm-39|Farm-155|Farm-195})"
"Farm-39","66","step({I,Farm-134|Farm-39|Farm-184|Farm-116|Farm-92|Farm-129|Farm-51|Farm-111|Farm-27|Farm-41})"
"Farm-39","70","step({I,Farm-138|Farm-47|Farm-108|Farm-155|Farm-150|Farm-145|Farm-97|Farm-39|Farm-42|Farm-108})"
