"ID","t","DS","Location"
"Ind-65","start","S","Farm-65"
"Ind-66","start","S","Farm-66"
"Ind-67","start","S","Farm-67"
"Ind-68","start","S","Farm-68"
"Ind-69","start","S","Farm-69"
"Ind-70","start","S","Farm-70"
"Ind-71","start","S","Farm-71"
"Ind-72","start","S","Farm-72"
"Ind-73","start","S","Farm-73"
"Ind-74","start","S","Farm-74"
"Ind-75","start","S","Farm-75"
"Ind-76","start","S","Farm-76"
"Ind-77","start","S","Farm-77"
"Ind-78","start","S","Farm-78"
"Ind-79","start","S","Farm-79"
"Ind-80","start","S","Farm-80"
"Ind-81","start","S","Farm-81"
"Ind-82","start","S","Farm-82"
"Ind-83","start","S","Farm-83"
"Ind-84","start","S","Farm-84"
"Ind-85","start","S","Farm-85"
"Ind-86","start","S","Farm-86"
"Ind-87","start","S","Farm-87"
"Ind-88","start","S","Farm-88"
"Ind-89","start","S","Farm-89"
"Ind-90","start","S","Farm-90"
"Ind-91","start","S","Farm-91"
"Ind-92","start","S","Farm-92"
"Ind-93","start","S","Farm-93"
"Ind-94","start","S","Farm-94"
"Ind-95","start","S","Farm-95"
"Ind-96","start","S","Farm-96"
"Ind-97","start","S","Farm-97"
"Ind-98","start","S","Farm-98"
"Ind-99","start","S","Farm-99"
"Ind-100","start","S","Farm-100"
"Ind-101","start","S","Farm-101"
"Ind-102","start","S","Farm-102"
"Ind-103","start","S","Farm-103"
"Ind-104","start","S","Farm-104"
"Ind-105","start","S","Farm-105"
"Ind-106","start","S","Farm-106"
"Ind-107","start","S","Farm-107"
"Ind-108","start","S","Farm-108"
"Ind-109","start","S","Farm-109"
"Ind-110","start","S","Farm-110"
"Ind-111","start","S","Farm-111"
"Ind-112","start","S","Farm-112"
"Ind-113","start","S","Farm-113"
"Ind-114","start","S","Farm-114"
"Ind-115","start","S","Farm-115"
"Ind-116","start","S","Farm-116"
"Ind-117","start","S","Farm-117"
"Ind-118","start","S","Farm-118"
"Ind-119","start","S","Farm-119"
"Ind-120","start","S","Farm-120"
"Ind-121","start","S","Farm-121"
"Ind-122","start","S","Farm-122"
"Ind-123","start","S","Farm-123"
"Ind-124","start","S","Farm-124"
"Ind-125","start","S","Farm-125"
"Ind-126","start","S","Farm-126"
"Ind-127","start","S","Farm-127"
"Ind-128","start","S","Farm-128"
"Ind-129","start","S","Farm-129"
"Ind-130","start","S","Farm-130"
"Ind-131","start","S","Farm-131"
"Ind-132","start","S","Farm-132"
"Ind-133","start","S","Farm-133"
"Ind-134","start","S","Farm-134"
"Ind-135","start","S","Farm-135"
"Ind-136","start","S","Farm-136"
"Ind-137","start","S","Farm-137"
"Ind-138","start","S","Farm-138"
"Ind-139","start","S","Farm-139"
"Ind-140","start","S","Farm-140"
"Ind-141","start","S","Farm-141"
"Ind-142","start","S","Farm-142"
"Ind-143","start","S","Farm-143"
"Ind-144","start","S","Farm-144"
"Ind-145","start","S","Farm-145"
"Ind-146","start","S","Farm-146"
"Ind-147","start","S","Farm-147"
"Ind-148","start","S","Farm-148"
"Ind-149","start","S","Farm-149"
"Ind-150","start","S","Farm-150"
"Ind-151","start","S","Farm-151"
"Ind-152","start","S","Farm-152"
"Ind-153","start","S","Farm-153"
"Ind-154","start","S","Farm-154"
"Ind-155","start","S","Farm-155"
"Ind-156","start","S","Farm-156"
"Ind-157","start","S","Farm-157"
"Ind-158","start","S","Farm-158"
"Ind-159","start","S","Farm-159"
"Ind-160","start","S","Farm-160"
"Ind-161","start","S","Farm-161"
"Ind-162","start","S","Farm-162"
"Ind-163","start","S","Farm-163"
"Ind-164","start","S","Farm-164"
"Ind-165","start","S","Farm-165"
"Ind-166","start","S","Farm-166"
"Ind-167","start","S","Farm-167"
"Ind-168","start","S","Farm-168"
"Ind-169","start","S","Farm-169"
"Ind-170","start","S","Farm-170"
"Ind-171","start","S","Farm-171"
"Ind-172","start","S","Farm-172"
"Ind-173","start","S","Farm-173"
"Ind-174","start","S","Farm-174"
"Ind-175","start","S","Farm-175"
"Ind-176","start","S","Farm-176"
"Ind-177","start","S","Farm-177"
"Ind-178","start","S","Farm-178"
"Ind-179","start","S","Farm-179"
"Ind-180","start","S","Farm-180"
"Ind-181","start","S","Farm-181"
"Ind-182","start","S","Farm-182"
"Ind-183","start","S","Farm-183"
"Ind-184","start","S","Farm-184"
"Ind-185","start","S","Farm-185"
"Ind-186","start","S","Farm-186"
"Ind-187","start","S","Farm-187"
"Ind-188","start","S","Farm-188"
"Ind-189","start","S","Farm-189"
"Ind-190","start","S","Farm-190"
"Ind-191","start","S","Farm-191"
"Ind-192","start","S","Farm-192"
"Ind-193","start","S","Farm-193"
"Ind-194","start","S","Farm-194"
"Ind-195","start","S","Farm-195"
"Ind-196","start","S","Farm-196"
"Ind-197","start","S","Farm-197"
"Ind-198","start","S","Farm-198"
"Ind-199","start","S","Farm-199"
"Ind-200","start","S","Farm-200"
