"l","l'",Value
"Jining","Delhi","0.0131277"
"Jinan","Delhi","0.0129914"
"Pune","Delhi","0.0406853"
"Foshan","Delhi","0.0135799"
"Bogota","Delhi","0.00327723"
"Ahmedabad","Delhi","0.0602681"
"Nanjing","Delhi","0.0124067"
"Changchun","Delhi","0.0108737"
"Tangshan","Delhi","0.0125843"
"Cangzhou","Delhi","0.0129994"
"Dar-es-Salaam","Delhi","0.00875311"
"Hefei","Delhi","0.012845"
"Hong-Kong","Delhi","0.0131166"
"Shaoyang","Delhi","0.0146761"
"Zhanjiang","Delhi","0.0143443"
"Shangqiu","Delhi","0.0134216"
"Nantong","Delhi","0.0118213"
"Yancheng","Delhi","0.0120649"
"Nanning","Delhi","0.0155163"
"Hengyang","Delhi","0.0141945"
"Zhumadian","Delhi","0.0139685"
"Shenyang","Delhi","0.0112753"
"Xingtai","Delhi","0.013781"
"Xi'an","Delhi","0.0160987"
"Santiago","Delhi","0.00294594"
"Yantai","Delhi","0.0118196"
"Riyadh","Delhi","0.0160982"
"Luoyang","Delhi","0.0145756"
"Kunming","Delhi","0.0191901"
"Shangrao","Delhi","0.0124692"
"Hangzhou","Delhi","0.0119406"
"Bijie","Delhi","0.0178308"
"Quanzhou","Delhi","0.0120269"
"Miami","Delhi","0.00369056"
"Wuxi","Delhi","0.0119661"
"Huanggang","Delhi","0.0135829"
"Maoming","Delhi","0.0142138"
"Nanchong","Delhi","0.0176109"
"Zunyi","Delhi","0.016909"
"Qujing","Delhi","0.0185203"
"Baghdad","Delhi","0.0155966"
"Xinyang","Delhi","0.0139347"
"Tokyo","Manila","0.0163928"
"Jakarta","Manila","0.0176019"
"Delhi","Manila","0.0104045"
"Sao-Paulo","Manila","0.00271319"
"Seoul","Manila","0.0187198"
"Mumbai","Manila","0.00965469"
"Shanghai","Manila","0.026416"
"Mexico-City","Manila","0.00350394"
"Guangzhou","Manila","0.0385122"
"Cairo","Manila","0.00541851"
"Beijing","Manila","0.0172489"
"New-York","Manila","0.00364241"
"Kolkata","Manila","0.0139196"
"Moscow","Manila","0.00601885"
"Bangkok","Manila","0.0221457"
"Dhaka","Manila","0.0146589"
"Buenos-Aires","Manila","0.00280264"
"Osaka","Manila","0.0183911"
"Lagos","Manila","0.00390701"
"Istanbul","Manila","0.0054555"
"Karachi","Manila","0.0086543"
"Kinshasa","Manila","0.00421467"
"Shenzhen","Manila","0.0418447"
"Bangalore","Manila","0.0105653"
"Ho-Chi-Minh-City","Manila","0.0300861"
"Tehran","Manila","0.0068626"
"Los-Angeles","Manila","0.00424565"
"Rio-de-Janeiro","Manila","0.00275292"
"Chengdu","Manila","0.0197301"
"Baoding","Manila","0.0178467"
"Chennai","Manila","0.0112545"
"Lahore","Manila","0.00973815"
"London","Manila","0.0046361"
"Paris","Manila","0.00463241"
"Tianjin","Manila","0.0178293"
"Linyi","Manila","0.0213639"
"Shijiazhuang","Manila","0.018292"
"Zhengzhou","Manila","0.0207683"
"Nanyang","Manila","0.0220559"
"Hyderabad","Manila","0.01088"
"Wuhan","Manila","0.0255794"
"Handan","Manila","0.0193727"
"Nagoya","Manila","0.0176488"
"Weifang","Manila","0.0198701"
"Lima","Manila","0.00276312"
"Zhoukou","Manila","0.0221256"
"Luanda","Manila","0.0040978"
"Ganzhou","Manila","0.0345191"
"Tongshan","Manila","0.0220341"
"Kuala-Lumpur","Manila","0.0198508"
"Chicago","Manila","0.00380666"
"Heze","Manila","0.0207434"
"Chongqing","Manila","0.0219404"
"Hanoi","Manila","0.0277227"
"Fuyang","Manila","0.0232453"
"Changsha","Manila","0.0281964"
"Dongguan","Manila","0.0397295"
"Jining","Manila","0.0207942"
"Jinan","Manila","0.0197194"
"Pune","Manila","0.00984553"
"Foshan","Manila","0.0384413"
"Bogota","Manila","0.00288019"
"Ahmedabad","Manila","0.00960178"
"Nanjing","Manila","0.0249582"
"Changchun","Manila","0.0150038"
"Tangshan","Manila","0.017565"
"Cangzhou","Manila","0.0184031"
"Dar-es-Salaam","Manila","0.00534041"
"Hefei","Manila","0.0249234"
"Hong-Kong","Manila","0.0428436"
"Shaoyang","Manila","0.0283071"
"Zhanjiang","Manila","0.0360328"
"Shangqiu","Manila","0.0215644"
"Nantong","Manila","0.0252154"
"Yancheng","Manila","0.023348"
"Nanning","Manila","0.0300171"
"Hengyang","Manila","0.0299216"
"Zhumadian","Manila","0.022614"
"Shenyang","Manila","0.0162124"
"Xingtai","Manila","0.0190129"
"Xi'an","Manila","0.019602"
"Santiago","Manila","0.00283085"
"Yantai","Manila","0.0193396"
"Riyadh","Manila","0.00639106"
"Luoyang","Manila","0.0204947"
"Kunming","Manila","0.0219012"
"Shangrao","Manila","0.0308583"
"Hangzhou","Manila","0.0278987"
"Bijie","Manila","0.0226997"
"Quanzhou","Manila","0.0408538"
"Miami","Manila","0.00332834"
"Wuxi","Manila","0.0258004"
"Huanggang","Manila","0.0260451"
"Maoming","Manila","0.0364622"
"Nanchong","Manila","0.0207709"
"Zunyi","Manila","0.0237299"
"Qujing","Manila","0.0226008"
"Baghdad","Manila","0.00629767"
"Xinyang","Manila","0.0235706"
"Tokyo","Sao-Paulo","0.00269085"
"Jakarta","Sao-Paulo","0.00318911"
"Delhi","Sao-Paulo","0.00345308"
"Manila","Sao-Paulo","0.00271319"
"Seoul","Sao-Paulo","0.00271841"
"Mumbai","Sao-Paulo","0.00361689"
"Shanghai","Sao-Paulo","0.00268554"
"Mexico-City","Sao-Paulo","0.00668268"
"Guangzhou","Sao-Paulo","0.00277572"
"Cairo","Sao-Paulo","0.00486869"
"Beijing","Sao-Paulo","0.00283298"
"New-York","Sao-Paulo","0.00646774"
"Kolkata","Sao-Paulo","0.0032302"
"Moscow","Sao-Paulo","0.00421711"
"Bangkok","Sao-Paulo","0.00304008"
"Dhaka","Sao-Paulo","0.00318369"
"Buenos-Aires","Sao-Paulo","0.0289931"
"Osaka","Sao-Paulo","0.00265913"
"Lagos","Sao-Paulo","0.00778621"
"Istanbul","Sao-Paulo","0.00470267"
"Karachi","Sao-Paulo","0.00373"
"Kinshasa","Sao-Paulo","0.00713078"
"Shenzhen","Sao-Paulo","0.00276437"
"Bangalore","Sao-Paulo","0.00354732"
"Ho-Chi-Minh-City","Sao-Paulo","0.00295847"
"Tehran","Sao-Paulo","0.00408155"
"Los-Angeles","Sao-Paulo","0.00501365"
"Rio-de-Janeiro","Sao-Paulo","0.122423"
"Chengdu","Sao-Paulo","0.00292937"
"Baoding","Sao-Paulo","0.00283011"
"Chennai","Sao-Paulo","0.00347887"
"Lahore","Sao-Paulo","0.00350962"
"London","Sao-Paulo","0.00523702"
"Paris","Sao-Paulo","0.00528994"
"Tianjin","Sao-Paulo","0.0028158"
"Linyi","Sao-Paulo","0.00275781"
"Shijiazhuang","Sao-Paulo","0.00283169"
"Zhengzhou","Sao-Paulo","0.00281076"
"Nanyang","Sao-Paulo","0.00281276"
"Hyderabad","Sao-Paulo","0.00348726"
"Wuhan","Sao-Paulo","0.00277407"
"Handan","Sao-Paulo","0.00281732"
"Nagoya","Sao-Paulo","0.002669"
"Weifang","Sao-Paulo","0.00276802"
"Lima","Sao-Paulo","0.014273"
"Zhoukou","Sao-Paulo","0.00278919"
"Luanda","Sao-Paulo","0.0075728"
"Ganzhou","Sao-Paulo","0.00274917"
"Tongshan","Sao-Paulo","0.0027632"
"Kuala-Lumpur","Sao-Paulo","0.00312979"
"Chicago","Sao-Paulo","0.00591202"
"Heze","Sao-Paulo","0.00279301"
"Chongqing","Sao-Paulo","0.00288712"
"Hanoi","Sao-Paulo","0.002903"
"Fuyang","Sao-Paulo","0.00276867"
"Changsha","Sao-Paulo","0.00278349"
"Dongguan","Sao-Paulo","0.00276817"
"Jining","Sao-Paulo","0.00278124"
"Jinan","Sao-Paulo","0.00278956"
"Pune","Sao-Paulo","0.00359566"
"Foshan","Sao-Paulo","0.00277829"
"Bogota","Sao-Paulo","0.0114429"
"Ahmedabad","Sao-Paulo","0.0035954"
"Nanjing","Sao-Paulo","0.00272499"
"Changchun","Sao-Paulo","0.00282763"
"Tangshan","Sao-Paulo","0.0028126"
"Cangzhou","Sao-Paulo","0.00280936"
"Dar-es-Salaam","Sao-Paulo","0.00535232"
"Hefei","Sao-Paulo","0.00274203"
"Hong-Kong","Sao-Paulo","0.00276286"
"Shaoyang","Sao-Paulo","0.00280411"
"Zhanjiang","Sao-Paulo","0.00282613"
"Shangqiu","Sao-Paulo","0.00278317"
"Nantong","Sao-Paulo","0.00269946"
"Yancheng","Sao-Paulo","0.00272131"
"Nanning","Sao-Paulo","0.00285609"
"Hengyang","Sao-Paulo","0.00278638"
"Zhumadian","Sao-Paulo","0.00279244"
"Shenyang","Sao-Paulo","0.0028033"
"Xingtai","Sao-Paulo","0.00282198"
"Xi'an","Sao-Paulo","0.0028716"
"Santiago","Sao-Paulo","0.018975"
"Yantai","Sao-Paulo","0.00275616"
"Riyadh","Sao-Paulo","0.00437076"
"Luoyang","Sao-Paulo","0.00282605"
"Kunming","Sao-Paulo","0.00294812"
"Shangrao","Sao-Paulo","0.00271238"
"Hangzhou","Sao-Paulo","0.00269385"
"Bijie","Sao-Paulo","0.0029035"
"Quanzhou","Sao-Paulo","0.00269404"
"Miami","Sao-Paulo","0.00755423"
"Wuxi","Sao-Paulo","0.00270279"
"Huanggang","Sao-Paulo","0.00276514"
"Maoming","Sao-Paulo","0.00281634"
"Nanchong","Sao-Paulo","0.00289749"
"Zunyi","Sao-Paulo","0.00287679"
"Qujing","Sao-Paulo","0.00292866"
"Baghdad","Sao-Paulo","0.00432514"
"Xinyang","Sao-Paulo","0.00278613"
"Tokyo","Seoul","0.0413606"
"Jakarta","Seoul","0.00935153"
"Delhi","Seoul","0.0105604"
"Manila","Seoul","0.0187198"
"Sao-Paulo","Seoul","0.00271841"
"Mumbai","Seoul","0.00885553"
"Shanghai","Seoul","0.0541855"
"Mexico-City","Seoul","0.00413178"
"Guangzhou","Seoul","0.0235702"
"Cairo","Seoul","0.00585685"
"Beijing","Seoul","0.0498231"
"New-York","Seoul","0.0045017"
"Kolkata","Seoul","0.0122333"
"Moscow","Seoul","0.0075112"
"Bangkok","Seoul","0.0132556"
"Dhaka","Seoul","0.0130104"
"Buenos-Aires","Seoul","0.00256661"
"Osaka","Seoul","0.057373"
"Lagos","Seoul","0.00401484"
"Istanbul","Seoul","0.00624518"
"Karachi","Seoul","0.00857866"
"Kinshasa","Seoul","0.00408022"
"Shenzhen","Seoul","0.0234858"
"Bangalore","Seoul","0.00887152"
"Ho-Chi-Minh-City","Seoul","0.0136918"
"Tehran","Seoul","0.00757283"
"Los-Angeles","Seoul","0.00519757"
"Rio-de-Janeiro","Seoul","0.00274944"
"Chengdu","Seoul","0.0218455"
"Baoding","Seoul","0.0469505"
"Chennai","Seoul","0.0092553"
"Lahore","Seoul","0.0102989"
"London","Seoul","0.00561261"
"Paris","Seoul","0.00554513"
"Tianjin","Seoul","0.0543022"
"Linyi","Seoul","0.0572879"
"Shijiazhuang","Seoul","0.0435882"
"Zhengzhou","Seoul","0.0388901"
"Nanyang","Seoul","0.0343563"
"Hyderabad","Seoul","0.00949372"
"Wuhan","Seoul","0.0344484"
"Handan","Seoul","0.0429914"
"Nagoya","Seoul","0.0509891"
"Weifang","Seoul","0.0661875"
"Lima","Seoul","0.00305666"
"Zhoukou","Seoul","0.0400638"
"Luanda","Seoul","0.00392359"
"Ganzhou","Seoul","0.0280962"
"Tongshan","Seoul","0.0497265"
"Kuala-Lumpur","Seoul","0.0107223"
"Chicago","Seoul","0.00473396"
"Heze","Seoul","0.0448248"
"Chongqing","Seoul","0.0233583"
"Hanoi","Seoul","0.0179085"
"Fuyang","Seoul","0.0420362"
"Changsha","Seoul","0.0290831"
"Dongguan","Seoul","0.0238152"
"Jining","Seoul","0.0494171"
"Jinan","Seoul","0.0530549"
"Pune","Seoul","0.00893676"
"Foshan","Seoul","0.0233697"
"Bogota","Seoul","0.00335696"
"Ahmedabad","Seoul","0.00919246"
"Nanjing","Seoul","0.0490989"
"Changchun","Seoul","0.0648611"
"Tangshan","Seoul","0.0588537"
"Cangzhou","Seoul","0.0530155"
"Dar-es-Salaam","Seoul","0.00484647"
"Hefei","Seoul","0.0438866"
"Hong-Kong","Seoul","0.0233334"
"Shaoyang","Seoul","0.0263164"
"Zhanjiang","Seoul","0.0202455"
"Shangqiu","Seoul","0.0443449"
"Nantong","Seoul","0.0565979"
"Yancheng","Seoul","0.0606605"
"Nanning","Seoul","0.0202282"
"Hengyang","Seoul","0.0270789"
"Zhumadian","Seoul","0.0375633"
"Shenyang","Seoul","0.081731"
"Xingtai","Seoul","0.0432036"
"Xi'an","Seoul","0.0291216"
"Santiago","Seoul","0.00271656"
"Yantai","Seoul","0.090043"
"Riyadh","Seoul","0.00657682"
"Luoyang","Seoul","0.0358138"
"Kunming","Seoul","0.0183009"
"Shangrao","Seoul","0.0365943"
"Hangzhou","Seoul","0.0464044"
"Bijie","Seoul","0.0210419"
"Quanzhou","Seoul","0.03002"
"Miami","Seoul","0.00400958"
"Wuxi","Seoul","0.0523175"
"Huanggang","Seoul","0.0353018"
"Maoming","Seoul","0.0208663"
"Nanchong","Seoul","0.0237003"
"Zunyi","Seoul","0.0225476"
"Qujing","Seoul","0.0191364"
"Baghdad","Seoul","0.00685774"
"Xinyang","Seoul","0.0364061"
"Tokyo","Mumbai","0.00737302"
"Jakarta","Mumbai","0.0106074"
"Delhi","Mumbai","0.0415348"
"Manila","Mumbai","0.00965469"
"Sao-Paulo","Mumbai","0.00361689"
"Seoul","Mumbai","0.00885553"
"Shanghai","Mumbai","0.00983994"
"Mexico-City","Mumbai","0.00318566"
"Guangzhou","Mumbai","0.0117638"
"Cairo","Mumbai","0.0113425"
"Beijing","Mumbai","0.0104286"
"New-York","Mumbai","0.0039727"
"Kolkata","Mumbai","0.0293278"
"Moscow","Mumbai","0.0098465"
"Bangkok","Mumbai","0.0163753"
"Dhaka","Mumbai","0.0258502"
"Buenos-Aires","Mumbai","0.00333663"
"Osaka","Mumbai","0.00781995"
"Lagos","Mumbai","0.00651832"
"Istanbul","Mumbai","0.0102859"
"Karachi","Mumbai","0.0536043"
"Kinshasa","Mumbai","0.00728626"
"Shenzhen","Mumbai","0.011536"
"Bangalore","Mumbai","0.0559016"
"Ho-Chi-Minh-City","Mumbai","0.0132144"
"Tehran","Mumbai","0.0175459"
"Los-Angeles","Mumbai","0.00356351"
"Rio-de-Janeiro","Mumbai","0.00371303"
"Chengdu","Mumbai","0.0145565"
"Baoding","Mumbai","0.0106691"
"Chennai","Mumbai","0.0461482"
"Lahore","Mumbai","0.0346071"
"London","Mumbai","0.00690448"
"Paris","Mumbai","0.00708282"
"Tianjin","Mumbai","0.0103347"
"Linyi","Mumbai","0.0103279"
"Shijiazhuang","Mumbai","0.0109179"
"Zhengzhou","Mumbai","0.0113233"
"Nanyang","Mumbai","0.011702"
"Hyderabad","Mumbai","0.074505"
"Wuhan","Mumbai","0.0113809"
"Handan","Mumbai","0.0110211"
"Nagoya","Mumbai","0.00766035"
"Weifang","Mumbai","0.0101198"
"Lima","Mumbai","0.00298427"
"Zhoukou","Mumbai","0.0111638"
"Luanda","Mumbai","0.00686455"
"Ganzhou","Mumbai","0.0113166"
"Tongshan","Mumbai","0.0105883"
"Kuala-Lumpur","Mumbai","0.0137069"
"Chicago","Mumbai","0.00384531"
"Heze","Mumbai","0.0109053"
"Chongqing","Mumbai","0.0137517"
"Hanoi","Mumbai","0.0143099"
"Fuyang","Mumbai","0.0109372"
"Changsha","Mumbai","0.011798"
"Dongguan","Mumbai","0.0116259"
"Jining","Mumbai","0.0106624"
"Jinan","Mumbai","0.0105158"
"Pune","Mumbai","0.293982"
"Foshan","Mumbai","0.0118064"
"Bogota","Mumbai","0.00320715"
"Ahmedabad","Mumbai","0.101881"
"Nanjing","Mumbai","0.0103418"
"Changchun","Mumbai","0.00891382"
"Tangshan","Mumbai","0.0101376"
"Cangzhou","Mumbai","0.0104505"
"Dar-es-Salaam","Mumbai","0.0105897"
"Hefei","Mumbai","0.0106539"
"Hong-Kong","Mumbai","0.0114975"
"Shaoyang","Mumbai","0.0122486"
"Zhanjiang","Mumbai","0.0126079"
"Shangqiu","Mumbai","0.0109019"
"Nantong","Mumbai","0.00993423"
"Yancheng","Mumbai","0.0100435"
"Nanning","Mumbai","0.0133516"
"Hengyang","Mumbai","0.0119352"
"Zhumadian","Mumbai","0.0113396"
"Shenyang","Mumbai","0.00922792"
"Xingtai","Mumbai","0.0109934"
"Xi'an","Mumbai","0.0125632"
"Santiago","Mumbai","0.00310161"
"Yantai","Mumbai","0.00972105"
"Riyadh","Mumbai","0.0177565"
"Luoyang","Mumbai","0.0116188"
"Kunming","Mumbai","0.0156846"
"Shangrao","Mumbai","0.0105767"
"Hangzhou","Mumbai","0.0100985"
"Bijie","Mumbai","0.0143866"
"Quanzhou","Mumbai","0.0104478"
"Miami","Mumbai","0.00349867"
"Wuxi","Mumbai","0.0100554"
"Huanggang","Mumbai","0.0112428"
"Maoming","Mumbai","0.0124496"
"Nanchong","Mumbai","0.0137916"
"Zunyi","Mumbai","0.0137262"
"Qujing","Mumbai","0.0151371"
"Baghdad","Mumbai","0.0152137"
"Xinyang","Mumbai","0.0113711"
"Tokyo","Shanghai","0.0274933"
"Jakarta","Shanghai","0.0111416"
"Delhi","Shanghai","0.0116397"
"Manila","Shanghai","0.026416"
"Sao-Paulo","Shanghai","0.00268554"
"Seoul","Shanghai","0.0541855"
"Mumbai","Shanghai","0.00983994"
"Mexico-City","Shanghai","0.00385696"
"Guangzhou","Shanghai","0.039786"
"Cairo","Shanghai","0.00594716"
"Beijing","Shanghai","0.044504"
"New-York","Shanghai","0.00419494"
